Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,7,2.5749e-05,0.0000e+00,7.3395e-02,-5.7220e-06,0.0000e+00,-3.3905e-02
case1,13,2.9564e-05,4.0187e-07,7.3395e-02,-7.1526e-06,0.0000e+00,-3.3875e-02
case1,22,3.6240e-05,1.0040e-06,7.3395e-02,-9.0599e-06,0.0000e+00,-3.3875e-02
case1,29,4.1008e-05,1.4734e-06,7.3395e-02,-1.1444e-05,0.0000e+00,-3.3875e-02
case1,37,4.7684e-05,2.0079e-06,7.3395e-02,-1.5259e-05,0.0000e+00,-3.3905e-02
case1,48,5.5313e-05,2.7455e-06,7.3395e-02,-1.8120e-05,0.0000e+00,-3.3905e-02
case1,62,6.6757e-05,3.6843e-06,7.3395e-02,-2.1935e-05,0.0000e+00,-3.3905e-02
case1,80,8.2016e-05,4.8801e-06,7.3410e-02,-2.5749e-05,0.0000e+00,-3.3875e-02
case1,102,9.9182e-05,6.3553e-06,7.3395e-02,-2.7657e-05,0.0000e+00,-3.3905e-02
case1,131,1.2207e-04,8.2999e-06,7.3410e-02,-3.0518e-05,0.0000e+00,-3.3875e-02
case1,169,1.5068e-04,1.0848e-05,7.3410e-02,-3.6240e-05,0.0000e+00,-3.3875e-02
case1,220,1.8311e-04,1.4260e-05,7.3425e-02,-4.3392e-05,0.0000e+00,-3.3905e-02
case1,287,2.1553e-04,1.8746e-05,7.3456e-02,-5.4359e-05,0.0000e+00,-3.3905e-02
case1,386,2.3842e-04,2.5362e-05,7.3486e-02,-6.6519e-05,0.0000e+00,-3.3905e-02
case1,505,2.4891e-04,3.3319e-05,7.3517e-02,-7.7724e-05,0.0000e+00,-3.3905e-02
case1,653,2.5225e-04,4.3213e-05,7.3578e-02,-9.0122e-05,0.0000e+00,-3.3905e-02
case1,866,2.5225e-04,5.7459e-05,7.3654e-02,-1.0824e-04,0.0000e+00,-3.3936e-02
case1,1197,2.4986e-04,7.9572e-05,7.3776e-02,-1.2779e-04,0.0000e+00,-3.3966e-02
case1,1502,2.3842e-04,1.0002e-04,7.3883e-02,-1.4341e-04,0.0000e+00,-3.4027e-02
case1,1880,2.1267e-04,1.2541e-04,7.4020e-02,-1.5295e-04,0.0000e+00,-3.4119e-02
case1,2361,1.7738e-04,1.5748e-04,7.4173e-02,-1.5557e-04,0.0000e+00,-3.4210e-02
case1,2972,1.3888e-04,1.9860e-04,7.4341e-02,-1.5253e-04,0.0000e+00,-3.4271e-02
case1,3745,1.0216e-04,2.5082e-04,7.4524e-02,-1.4424e-04,0.0000e+00,-3.4454e-02
case1,4729,6.7472e-05,3.1710e-04,7.4692e-02,-1.2589e-04,0.0000e+00,-3.4607e-02
case1,5979,3.7789e-05,4.0197e-04,7.4890e-02,-9.3415e-05,0.0000e+00,-3.4790e-02
case1,7749,1.9491e-05,5.2214e-04,7.5089e-02,-6.1974e-05,0.0000e+00,-3.5004e-02
case1,9989,1.0908e-05,6.7520e-04,7.5302e-02,-4.2871e-05,0.0000e+00,-3.5156e-02
case1,12851,7.9274e-06,8.7070e-04,7.5531e-02,-3.5957e-05,0.0000e+00,-3.5278e-02
case1,15152,6.7949e-06,1.0281e-03,7.5699e-02,-3.3838e-05,0.0000e+00,-3.5400e-02
case1,17803,6.0201e-06,1.2102e-03,7.5912e-02,-3.3051e-05,0.0000e+00,-3.5522e-02
case1,20809,5.3346e-06,1.4162e-03,7.6141e-02,-3.2544e-05,0.0000e+00,-3.5614e-02
case1,24204,5.0366e-06,1.6479e-03,7.6401e-02,-3.2663e-05,0.0000e+00,-3.5767e-02
case1,28056,5.0068e-06,1.9131e-03,7.6691e-02,-3.3498e-05,0.0000e+00,-3.5889e-02
case1,30174,4.9174e-06,2.0580e-03,7.6828e-02,-3.4511e-05,0.0000e+00,-3.6011e-02
case1,32418,4.9472e-06,2.2125e-03,7.7011e-02,-3.5882e-05,0.0000e+00,-3.6072e-02
case1,34793,5.3048e-06,2.3766e-03,7.7179e-02,-3.8028e-05,0.0000e+00,-3.6194e-02
case1,37290,5.4240e-06,2.5463e-03,7.7362e-02,-3.9935e-05,0.0000e+00,-3.6285e-02
case1,39936,5.4836e-06,2.7294e-03,7.7560e-02,-4.2081e-05,0.0000e+00,-3.6438e-02
case1,42736,5.9605e-06,2.9221e-03,7.7789e-02,-4.4703e-05,0.0000e+00,-3.6560e-02
case1,45688,6.3777e-06,3.1242e-03,7.8003e-02,-4.7445e-05,0.0000e+00,-3.6713e-02
