Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,7,1.4114e-04,0.0000e+00,4.5169e-01,-6.5804e-05,0.0000e+00,-3.7714e-01
case1,13,1.6689e-04,2.1756e-06,4.5171e-01,-8.8215e-05,0.0000e+00,-3.7711e-01
case1,22,1.9741e-04,5.4399e-06,4.5171e-01,-1.1444e-04,0.0000e+00,-3.7711e-01
case1,29,2.2697e-04,7.9777e-06,4.5172e-01,-1.4496e-04,0.0000e+00,-3.7714e-01
case1,37,2.6321e-04,1.0880e-05,4.5172e-01,-1.8501e-04,0.0000e+00,-3.7714e-01
case1,48,3.1090e-04,1.4868e-05,4.5172e-01,-2.3174e-04,0.0000e+00,-3.7714e-01
case1,62,3.7193e-04,1.9945e-05,4.5174e-01,-2.7752e-04,0.0000e+00,-3.7714e-01
case1,80,4.5204e-04,2.6464e-05,4.5175e-01,-3.2043e-04,0.0000e+00,-3.7714e-01
case1,102,5.4932e-04,3.4444e-05,4.5177e-01,-3.4332e-04,0.0000e+00,-3.7717e-01
case1,131,6.7139e-04,4.4957e-05,4.5178e-01,-3.6335e-04,0.0000e+00,-3.7714e-01
case1,169,8.2397e-04,5.8740e-05,4.5183e-01,-4.0388e-04,0.0000e+00,-3.7717e-01
case1,220,1.0052e-03,7.7233e-05,4.5190e-01,-4.7255e-04,0.0000e+00,-3.7720e-01
case1,287,1.1854e-03,1.0152e-04,4.5201e-01,-5.6791e-04,0.0000e+00,-3.7723e-01
case1,386,1.3113e-03,1.3739e-04,4.5218e-01,-6.7163e-04,0.0000e+00,-3.7729e-01
case1,505,1.3695e-03,1.8051e-04,4.5241e-01,-7.6723e-04,0.0000e+00,-3.7741e-01
case1,653,1.3866e-03,2.3413e-04,4.5271e-01,-8.7643e-04,0.0000e+00,-3.7753e-01
case1,866,1.3885e-03,3.1132e-04,4.5314e-01,-1.0347e-03,0.0000e+00,-3.7775e-01
case1,1197,1.3766e-03,4.3124e-04,4.5381e-01,-1.2095e-03,0.0000e+00,-3.7814e-01
case1,1502,1.3146e-03,5.4193e-04,4.5441e-01,-1.3478e-03,0.0000e+00,-3.7860e-01
case1,1880,1.1754e-03,6.7902e-04,4.5514e-01,-1.4319e-03,0.0000e+00,-3.7921e-01
