Microplastic fibers: 100 MP m-3
Mean net RF (W m-2):,-2.8620e-02
Mean Delta TOA up flux SW (W m-2):,3.2472e-01
Mean Delta TOA up flux LW (W m-2):,-2.9610e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,7,1.5926e-04,0.0000e+00,5.1277e-01,-7.9155e-05,0.0000e+00,-4.5422e-01
case1,13,1.8787e-04,2.4638e-06,5.1277e-01,-1.0681e-04,0.0000e+00,-4.5419e-01
case1,22,2.2316e-04,6.1598e-06,5.1277e-01,-1.3876e-04,0.0000e+00,-4.5419e-01
case1,29,2.5558e-04,9.0338e-06,5.1279e-01,-1.7548e-04,0.0000e+00,-4.5422e-01
case1,37,2.9755e-04,1.2320e-05,5.1280e-01,-2.2411e-04,0.0000e+00,-4.5422e-01
case1,48,3.5095e-04,1.6835e-05,5.1280e-01,-2.7943e-04,0.0000e+00,-4.5422e-01
case1,62,4.2152e-04,2.2586e-05,5.1282e-01,-3.3665e-04,0.0000e+00,-4.5422e-01
case1,80,5.1117e-04,2.9974e-05,5.1283e-01,-3.8719e-04,0.0000e+00,-4.5422e-01
case1,102,6.1989e-04,3.9004e-05,5.1285e-01,-4.1580e-04,0.0000e+00,-4.5425e-01
case1,131,7.5912e-04,5.0910e-05,5.1288e-01,-4.4060e-04,0.0000e+00,-4.5425e-01
case1,169,9.3079e-04,6.6519e-05,5.1292e-01,-4.8923e-04,0.0000e+00,-4.5425e-01
case1,220,1.1349e-03,8.7455e-05,5.1302e-01,-5.7268e-04,0.0000e+00,-4.5432e-01
case1,287,1.3380e-03,1.1496e-04,5.1312e-01,-6.8855e-04,0.0000e+00,-4.5435e-01
case1,386,1.4811e-03,1.5560e-04,5.1332e-01,-8.1444e-04,0.0000e+00,-4.5444e-01
case1,505,1.5469e-03,2.0441e-04,5.1358e-01,-9.3055e-04,0.0000e+00,-4.5456e-01
case1,653,1.5664e-03,2.6512e-04,5.1392e-01,-1.0631e-03,0.0000e+00,-4.5468e-01
case1,866,1.5688e-03,3.5256e-04,5.1440e-01,-1.2550e-03,0.0000e+00,-4.5499e-01
case1,1197,1.5550e-03,4.8834e-04,5.1515e-01,-1.4673e-03,0.0000e+00,-4.5547e-01
case1,1502,1.4851e-03,6.1357e-04,5.1584e-01,-1.6351e-03,0.0000e+00,-4.5599e-01
case1,1880,1.3280e-03,7.6890e-04,5.1666e-01,-1.7370e-03,0.0000e+00,-4.5676e-01
case1,2361,1.1101e-03,9.6667e-04,5.1762e-01,-1.7653e-03,0.0000e+00,-4.5773e-01
case1,2972,8.7368e-04,1.2183e-03,5.1868e-01,-1.7350e-03,0.0000e+00,-4.5898e-01
case1,3745,6.4623e-04,1.5380e-03,5.1979e-01,-1.6519e-03,0.0000e+00,-4.6060e-01
case1,4729,4.3237e-04,1.9460e-03,5.2095e-01,-1.4638e-03,0.0000e+00,-4.6252e-01
case1,5979,2.4867e-04,2.4662e-03,5.2213e-01,-1.1124e-03,0.0000e+00,-4.6469e-01
case1,7749,1.3661e-04,3.2063e-03,5.2338e-01,-7.6890e-04,0.0000e+00,-4.6704e-01
case1,9989,8.4788e-05,4.1456e-03,5.2469e-01,-5.6328e-04,0.0000e+00,-4.6906e-01
case1,12851,6.9827e-05,5.3492e-03,5.2617e-01,-5.0434e-04,0.0000e+00,-4.7098e-01
case1,15152,6.5655e-05,6.3171e-03,5.2733e-01,-5.0200e-04,0.0000e+00,-4.7238e-01
case1,17803,6.6847e-05,7.4348e-03,5.2866e-01,-5.3540e-04,0.0000e+00,-4.7394e-01
case1,20809,7.4536e-05,8.7013e-03,5.3015e-01,-6.0570e-04,0.0000e+00,-4.7583e-01
case1,24204,1.0723e-04,1.0132e-02,5.3189e-01,-8.1003e-04,0.0000e+00,-4.7830e-01
case1,28056,8.7202e-04,1.1757e-02,5.3401e-01,4.9329e-04,0.0000e+00,-4.8199e-01
case1,30174,8.3601e-04,8.6994e-02,5.1437e-01,1.9121e-04,2.4399e-02,-4.5636e-01
case1,32418,8.1822e-04,1.6607e-01,4.9352e-01,-2.5707e-04,5.0434e-02,-4.2981e-01
case1,34793,8.2612e-04,2.4916e-01,4.7133e-01,-6.8009e-04,7.8335e-02,-4.0265e-01
case1,37290,8.0043e-04,3.3583e-01,4.4804e-01,-1.1224e-03,1.0720e-01,-3.7576e-01
case1,39936,7.7027e-04,4.2704e-01,4.2325e-01,-1.5601e-03,1.3799e-01,-3.4851e-01
case1,42736,7.4750e-04,5.2284e-01,3.9690e-01,-1.7351e-03,1.7113e-01,-3.2053e-01
case1,45688,7.1645e-04,6.2265e-01,3.6905e-01,-2.2486e-03,2.0516e-01,-2.9260e-01
case1,48801,6.6072e-04,7.2705e-01,3.3952e-01,-2.2703e-03,2.4140e-01,-2.6465e-01
case1,52073,5.5063e-04,8.3504e-01,3.0841e-01,-1.8415e-03,2.7751e-01,-2.3737e-01
case1,55525,4.1533e-04,9.4633e-01,2.7557e-01,-1.5295e-03,3.1161e-01,-2.1082e-01
case1,59165,1.0848e-04,1.0611e+00,2.4094e-01,7.9608e-04,3.4427e-01,-1.8475e-01
case1,63005,8.6427e-05,1.1748e+00,2.0486e-01,5.9009e-04,3.6519e-01,-1.6019e-01
case1,67040,1.2219e-04,1.2905e+00,1.6713e-01,-1.2584e-03,3.8519e-01,-1.3736e-01
case1,71267,-6.0225e-04,1.4129e+00,1.2720e-01,2.8381e-03,4.1313e-01,-1.1575e-01
case1,75750,-9.9254e-04,1.5277e+00,8.5510e-02,5.8041e-03,4.1762e-01,-9.6161e-02
case1,80520,-6.4445e-04,1.6373e+00,4.2023e-02,3.1428e-03,4.0324e-01,-7.7698e-02
case1,85629,-7.1895e-04,1.7555e+00,-4.1199e-03,1.7726e-03,4.0578e-01,-5.6122e-02
case1,91005,-8.2242e-04,1.8782e+00,-5.3146e-02,7.9626e-04,4.1791e-01,-3.2684e-02
case1,93773,-9.0480e-04,1.9414e+00,-7.8888e-02,3.5968e-04,4.2694e-01,-2.1057e-02
case1,96625,-9.9909e-04,2.0066e+00,-1.0579e-01,3.1221e-04,4.3762e-01,-9.1553e-03
case1,98072,-1.0424e-03,2.0396e+00,-1.1963e-01,5.6648e-04,4.4327e-01,-2.9602e-03
case1,98702,0.0000e+00,2.0539e+00,-1.2569e-01,0.0000e+00,4.4580e-01,0.0000e+00
case2,7,1.7738e-04,0.0000e+00,6.3322e-01,-5.3406e-05,0.0000e+00,-3.2608e-01
case2,13,2.1172e-04,2.5849e-06,6.3322e-01,-7.0572e-05,0.0000e+00,-3.2608e-01
case2,22,2.5272e-04,6.4624e-06,6.3323e-01,-9.1076e-05,0.0000e+00,-3.2608e-01
case2,29,2.9087e-04,9.4790e-06,6.3324e-01,-1.1396e-04,0.0000e+00,-3.2611e-01
case2,37,3.4142e-04,1.2925e-05,6.3324e-01,-1.4400e-04,0.0000e+00,-3.2608e-01
case2,48,4.0436e-04,1.7665e-05,6.3326e-01,-1.8120e-04,0.0000e+00,-3.2608e-01
case2,62,4.8065e-04,2.3693e-05,6.3326e-01,-2.1839e-04,0.0000e+00,-3.2608e-01
case2,80,5.7030e-04,3.1456e-05,6.3329e-01,-2.5368e-04,0.0000e+00,-3.2611e-01
case2,102,6.8092e-04,4.0933e-05,6.3331e-01,-2.7657e-04,0.0000e+00,-3.2611e-01
case2,131,8.2779e-04,5.3421e-05,6.3334e-01,-3.0041e-04,0.0000e+00,-3.2611e-01
case2,169,1.0214e-03,6.9797e-05,6.3340e-01,-3.4475e-04,0.0000e+00,-3.2614e-01
case2,220,1.2760e-03,9.1761e-05,6.3348e-01,-4.2248e-04,0.0000e+00,-3.2614e-01
case2,287,1.5965e-03,1.2062e-04,6.3361e-01,-5.4693e-04,0.0000e+00,-3.2617e-01
case2,386,1.9026e-03,1.6326e-04,6.3383e-01,-7.0500e-04,0.0000e+00,-3.2623e-01
