Microplastic fragments: 100 MP m-3
Mean net RF (W m-2):,-1.5923e-02
Mean Delta TOA up flux SW (W m-2):,2.0029e-01
Mean Delta TOA up flux LW (W m-2):,-1.8437e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,7,1.0300e-04,0.0000e+00,3.2509e-01,-5.0545e-05,0.0000e+00,-2.9031e-01
case1,13,1.2207e-04,1.5879e-06,3.2509e-01,-6.7711e-05,0.0000e+00,-2.9028e-01
case1,22,1.4496e-04,3.9702e-06,3.2509e-01,-8.7738e-05,0.0000e+00,-2.9028e-01
case1,29,1.6594e-04,5.8226e-06,3.2510e-01,-1.1110e-04,0.0000e+00,-2.9031e-01
case1,37,1.9264e-04,7.9405e-06,3.2510e-01,-1.4305e-04,0.0000e+00,-2.9031e-01
case1,48,2.2697e-04,1.0852e-05,3.2510e-01,-1.7738e-04,0.0000e+00,-2.9031e-01
case1,62,2.7275e-04,1.4558e-05,3.2512e-01,-2.1362e-04,0.0000e+00,-2.9031e-01
case1,80,3.2997e-04,1.9319e-05,3.2512e-01,-2.4605e-04,0.0000e+00,-2.9031e-01
case1,102,4.0245e-04,2.5138e-05,3.2513e-01,-2.6417e-04,0.0000e+00,-2.9034e-01
case1,131,4.9210e-04,3.2812e-05,3.2515e-01,-2.8038e-04,0.0000e+00,-2.9031e-01
case1,169,6.0272e-04,4.2871e-05,3.2518e-01,-3.1137e-04,0.0000e+00,-2.9034e-01
case1,220,7.3433e-04,5.6371e-05,3.2524e-01,-3.6430e-04,0.0000e+00,-2.9037e-01
case1,287,8.6689e-04,7.4089e-05,3.2532e-01,-4.3821e-04,0.0000e+00,-2.9037e-01
case1,386,9.5940e-04,1.0028e-04,3.2544e-01,-5.1832e-04,0.0000e+00,-2.9044e-01
case1,505,1.0014e-03,1.3176e-04,3.2561e-01,-5.9247e-04,0.0000e+00,-2.9053e-01
case1,653,1.0142e-03,1.7089e-04,3.2582e-01,-6.7663e-04,0.0000e+00,-2.9062e-01
case1,866,1.0157e-03,2.2721e-04,3.2614e-01,-7.9918e-04,0.0000e+00,-2.9080e-01
case1,1197,1.0066e-03,3.1477e-04,3.2663e-01,-9.3448e-04,0.0000e+00,-2.9111e-01
case1,1502,9.6130e-04,3.9554e-04,3.2707e-01,-1.0417e-03,0.0000e+00,-2.9144e-01
case1,1880,8.5926e-04,4.9555e-04,3.2761e-01,-1.1070e-03,0.0000e+00,-2.9193e-01
case1,2361,7.1812e-04,6.2299e-04,3.2822e-01,-1.1256e-03,0.0000e+00,-2.9254e-01
case1,2972,5.6493e-04,7.8535e-04,3.2890e-01,-1.1072e-03,0.0000e+00,-2.9333e-01
case1,3745,4.1759e-04,9.9134e-04,3.2964e-01,-1.0551e-03,0.0000e+00,-2.9437e-01
case1,4729,2.7907e-04,1.2543e-03,3.3037e-01,-9.3597e-04,0.0000e+00,-2.9559e-01
case1,5979,1.6016e-04,1.5898e-03,3.3113e-01,-7.1210e-04,0.0000e+00,-2.9700e-01
case1,7749,8.7619e-05,2.0666e-03,3.3194e-01,-4.9269e-04,0.0000e+00,-2.9849e-01
case1,9989,5.4032e-05,2.6722e-03,3.3278e-01,-3.6088e-04,0.0000e+00,-2.9980e-01
case1,12851,4.4256e-05,3.4475e-03,3.3372e-01,-3.2349e-04,0.0000e+00,-3.0103e-01
case1,15152,4.1455e-05,4.0712e-03,3.3447e-01,-3.2219e-04,0.0000e+00,-3.0191e-01
case1,17803,4.2111e-05,4.7913e-03,3.3533e-01,-3.4475e-04,0.0000e+00,-3.0292e-01
case1,20809,4.6909e-05,5.6076e-03,3.3629e-01,-3.9315e-04,0.0000e+00,-3.0414e-01
case1,24204,6.7711e-05,6.5289e-03,3.3742e-01,-5.3799e-04,0.0000e+00,-3.0573e-01
case1,28056,9.5916e-04,7.5779e-03,3.3878e-01,1.2875e-04,0.0000e+00,-3.0820e-01
case1,30174,9.3201e-04,5.4678e-02,3.2610e-01,-1.1665e-04,1.7494e-02,-2.9037e-01
case1,32418,9.1711e-04,1.0419e-01,3.1265e-01,-4.7868e-04,3.6152e-02,-2.7203e-01
case1,34793,9.1380e-04,1.5622e-01,2.9834e-01,-7.6330e-04,5.6152e-02,-2.5339e-01
case1,37290,8.9300e-04,2.1050e-01,2.8333e-01,-1.1044e-03,7.6668e-02,-2.3511e-01
case1,39936,8.7151e-04,2.6764e-01,2.6732e-01,-1.4666e-03,9.8503e-02,-2.1677e-01
case1,42736,8.4692e-04,3.2765e-01,2.5032e-01,-1.5656e-03,1.2206e-01,-1.9806e-01
case1,45688,8.2111e-04,3.9019e-01,2.3236e-01,-1.9783e-03,1.4603e-01,-1.7957e-01
case1,48801,7.6783e-04,4.5562e-01,2.1332e-01,-1.9512e-03,1.7159e-01,-1.6132e-01
case1,52073,6.7031e-04,5.2333e-01,1.9324e-01,-1.5378e-03,1.9672e-01,-1.4377e-01
case1,55525,5.6422e-04,5.9314e-01,1.7207e-01,-1.2481e-03,2.1985e-01,-1.2692e-01
case1,59165,3.1245e-04,6.6516e-01,1.4972e-01,6.7759e-04,2.4152e-01,-1.1066e-01
case1,63005,2.9421e-04,7.3650e-01,1.2645e-01,3.8719e-04,2.5357e-01,-9.5490e-02
case1,67040,3.3522e-04,8.0906e-01,1.0211e-01,-1.1244e-03,2.6553e-01,-8.1696e-02
case1,71267,-2.2745e-04,8.8584e-01,7.6355e-02,2.0590e-03,2.8383e-01,-6.9031e-02
case1,75750,-5.4598e-04,9.5793e-01,4.9454e-02,4.2553e-03,2.8418e-01,-5.7739e-02
case1,80520,-2.8276e-04,1.0268e+00,2.1362e-02,2.1577e-03,2.7095e-01,-4.6875e-02
case1,85629,-3.1888e-04,1.1012e+00,-8.4534e-03,1.0541e-03,2.7101e-01,-3.3752e-02
case1,91005,-3.7634e-04,1.1782e+00,-4.0131e-02,2.7007e-04,2.7859e-01,-1.9440e-02
case1,93773,-4.2403e-04,1.2179e+00,-5.6763e-02,-8.4534e-05,2.8467e-01,-1.2482e-02
case1,96625,-4.8327e-04,1.2588e+00,-7.4142e-02,-1.4162e-04,2.9202e-01,-5.4626e-03
case1,98072,-5.0986e-04,1.2795e+00,-8.3084e-02,4.7684e-05,2.9590e-01,-1.8005e-03
case1,98702,0.0000e+00,1.2885e+00,-8.7006e-02,0.0000e+00,2.9767e-01,0.0000e+00
case2,7,1.1349e-04,0.0000e+00,4.0208e-01,-3.4332e-05,0.0000e+00,-2.0709e-01
case2,13,1.3542e-04,1.6456e-06,4.0208e-01,-4.4823e-05,0.0000e+00,-2.0709e-01
case2,22,1.6212e-04,4.1137e-06,4.0208e-01,-5.8174e-05,0.0000e+00,-2.0712e-01
case2,29,1.8597e-04,6.0350e-06,4.0209e-01,-7.2479e-05,0.0000e+00,-2.0712e-01
case2,37,2.1839e-04,8.2273e-06,4.0209e-01,-9.1553e-05,0.0000e+00,-2.0709e-01
case2,48,2.5845e-04,1.1247e-05,4.0210e-01,-1.1539e-04,0.0000e+00,-2.0709e-01
case2,62,3.0708e-04,1.5084e-05,4.0211e-01,-1.3924e-04,0.0000e+00,-2.0709e-01
case2,80,3.6430e-04,2.0027e-05,4.0212e-01,-1.6117e-04,0.0000e+00,-2.0712e-01
case2,102,4.3488e-04,2.6055e-05,4.0213e-01,-1.7548e-04,0.0000e+00,-2.0712e-01
case2,131,5.2929e-04,3.4012e-05,4.0215e-01,-1.9169e-04,0.0000e+00,-2.0712e-01
case2,169,6.5327e-04,4.4435e-05,4.0219e-01,-2.1982e-04,0.0000e+00,-2.0715e-01
case2,220,8.1635e-04,5.8427e-05,4.0224e-01,-2.6941e-04,0.0000e+00,-2.0712e-01
case2,287,1.0204e-03,7.6786e-05,4.0232e-01,-3.4904e-04,0.0000e+00,-2.0715e-01
case2,386,1.2164e-03,1.0392e-04,4.0247e-01,-4.4966e-04,0.0000e+00,-2.0721e-01
case2,505,1.3542e-03,1.3655e-04,4.0268e-01,-5.5480e-04,0.0000e+00,-2.0728e-01
case2,653,1.4386e-03,1.7712e-04,4.0295e-01,-6.7377e-04,0.0000e+00,-2.0737e-01
case2,866,1.4744e-03,2.3544e-04,4.0338e-01,-8.2684e-04,0.0000e+00,-2.0752e-01
