Flux units are Wm-2/cm-1
    wavn(cm-1) flxtoa_up     flxsfc_dn
      10.5     0.0007632     0.0007680
      11.5     0.0009167     0.0009386
      12.5     0.0010202     0.0011329
      13.5     0.0012382     0.0013117
      14.5     0.0013306     0.0015174
      15.5     0.0015783     0.0017316
      16.5     0.0017537     0.0019575
      17.5     0.0019416     0.0022015
      18.5     0.0019154     0.0024555
      19.5     0.0023499     0.0027205
      20.5     0.0026583     0.0029971
      21.5     0.0029667     0.0032833
      22.5     0.0032816     0.0035858
      23.5     0.0034674     0.0039061
      24.5     0.0035589     0.0042417
      25.5     0.0036156     0.0045835
      26.5     0.0043724     0.0049319
      27.5     0.0046277     0.0052925
      28.5     0.0050637     0.0056690
      29.5     0.0054452     0.0060607
      30.5     0.0055937     0.0064722
      31.5     0.0060589     0.0068840
      32.5     0.0058839     0.0073149
      33.5     0.0063807     0.0077513
      34.5     0.0069359     0.0081995
      35.5     0.0070578     0.0086635
      36.5     0.0068027     0.0091346
      37.5     0.0072835     0.0096163
      38.5     0.0075004     0.0101125
      39.5     0.0082019     0.0106164
      40.5     0.0083555     0.0111316
      41.5     0.0092578     0.0116564
      42.5     0.0102013     0.0121955
      43.5     0.0106672     0.0127405
      44.5     0.0109853     0.0133016
      45.5     0.0116629     0.0138669
      46.5     0.0112923     0.0144522
      47.5     0.0116624     0.0150388
      48.5     0.0126135     0.0156387
      49.5     0.0135291     0.0162416
      50.5     0.0138802     0.0168650
      51.5     0.0143135     0.0174925
      52.5     0.0145967     0.0181348
      53.5     0.0140884     0.0187810
      54.5     0.0147854     0.0194462
      55.5     0.0144972     0.0201135
      56.5     0.0151340     0.0207848
      57.5     0.0155607     0.0214779
      58.5     0.0166388     0.0221731
      59.5     0.0173992     0.0228719
      60.5     0.0180679     0.0235886
      61.5     0.0190804     0.0243064
      62.5     0.0185336     0.0250433
      63.5     0.0194614     0.0257874
      64.5     0.0201059     0.0265304
      65.5     0.0218093     0.0272854
      66.5     0.0225336     0.0280531
      67.5     0.0219720     0.0288242
      68.5     0.0222411     0.0296105
      69.5     0.0226627     0.0304042
      70.5     0.0244012     0.0311972
      71.5     0.0237544     0.0320050
      72.5     0.0234622     0.0328266
      73.5     0.0238674     0.0336473
      74.5     0.0249683     0.0344720
