The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  701.15        633.47        174.98        137.40
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP 
     820.0  0.0008812413  0.0008808960  0.0000285659  0.0000365086
     821.0  0.0008860873  0.0008857393  0.0000287661  0.0000367093
     822.0  0.0008855542  0.0008852060  0.0000287024  0.0000366872
     823.0  0.0008806832  0.0008803367  0.0000284272  0.0000364855
     824.0  0.0008739542  0.0008736100  0.0000280641  0.0000362066
     825.0  0.0008675539  0.0008672120  0.0000277262  0.0000359415
     826.0  0.0008643375  0.0008639964  0.0000275558  0.0000358083
     827.0  0.0008658214  0.0008654789  0.0000276298  0.0000358698
     828.0  0.0008726730  0.0008723270  0.0000279782  0.0000361537
     829.0  0.0008841529  0.0008838011  0.0000285597  0.0000366292
     830.0  0.0008980508  0.0008976923  0.0000292596  0.0000372050
     831.0  0.0009122614  0.0009118961  0.0000299677  0.0000377937
     832.0  0.0009240243  0.0009236532  0.0000305457  0.0000382811
     833.0  0.0009320765  0.0009317013  0.0000309303  0.0000386147
     834.0  0.0009353712  0.0009349940  0.0000310725  0.0000387511
     835.0  0.0009341754  0.0009337981  0.0000309901  0.0000387016
     836.0  0.0009294980  0.0009291223  0.0000307334  0.0000385078
     837.0  0.0009227530  0.0009223797  0.0000303764  0.0000382284
     838.0  0.0009163366  0.0009159655  0.0000300332  0.0000379625
     839.0  0.0009120427  0.0009116729  0.0000297955  0.0000377847
     840.0  0.0009117939  0.0009114236  0.0000297559  0.0000377743
     841.0  0.0009158519  0.0009154791  0.0000299330  0.0000379425
     842.0  0.0009233675  0.0009229907  0.0000302868  0.0000382538
     843.0  0.0009319560  0.0009315747  0.0000307038  0.0000386097
     844.0  0.0009385563  0.0009381713  0.0000310334  0.0000388831
     845.0  0.0009400732  0.0009396870  0.0000311233  0.0000389459
     846.0  0.0009344828  0.0009340983  0.0000308718  0.0000387143
     847.0  0.0009209095  0.0009205305  0.0000302362  0.0000381520
     848.0  0.0009006630  0.0009002925  0.0000292786  0.0000373132
     849.0  0.0008762194  0.0008758593  0.0000281203  0.0000363006
     850.0  0.0008518239  0.0008514742  0.0000269621  0.0000352899
     851.0  0.0008320718  0.0008317303  0.0000260219  0.0000344716
