The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     820.0  0.0000672782  0.0000671011  0.0000003889  0.0000015760
     821.0  0.0000681377  0.0000679581  0.0000003954  0.0000015962
     822.0  0.0000678139  0.0000676349  0.0000003938  0.0000015886
     823.0  0.0000665819  0.0000664057  0.0000003861  0.0000015597
     824.0  0.0000649528  0.0000647806  0.0000003759  0.0000015216
     825.0  0.0000635285  0.0000633596  0.0000003674  0.0000014882
     826.0  0.0000628946  0.0000627270  0.0000003647  0.0000014734
     827.0  0.0000634495  0.0000632801  0.0000003706  0.0000014864
     828.0  0.0000652872  0.0000651127  0.0000003858  0.0000015294
     829.0  0.0000681622  0.0000679800  0.0000004084  0.0000015968
     830.0  0.0000715701  0.0000713787  0.0000004346  0.0000016766
     831.0  0.0000748871  0.0000746868  0.0000004601  0.0000017543
     832.0  0.0000775634  0.0000773558  0.0000004808  0.0000018170
     833.0  0.0000792329  0.0000790206  0.0000004939  0.0000018561
     834.0  0.0000797682  0.0000795541  0.0000004986  0.0000018686
     835.0  0.0000792701  0.0000790571  0.0000004956  0.0000018570
     836.0  0.0000780119  0.0000778018  0.0000004870  0.0000018275
     837.0  0.0000764012  0.0000761949  0.0000004758  0.0000017898
     838.0  0.0000749302  0.0000747275  0.0000004658  0.0000017553
     839.0  0.0000740858  0.0000738849  0.0000004606  0.0000017355
     840.0  0.0000742402  0.0000740385  0.0000004630  0.0000017391
     841.0  0.0000755055  0.0000753001  0.0000004740  0.0000017688
     842.0  0.0000776427  0.0000774312  0.0000004915  0.0000018188
     843.0  0.0000800875  0.0000798692  0.0000005113  0.0000018761
     844.0  0.0000820678  0.0000818439  0.0000005273  0.0000019225
     845.0  0.0000828284  0.0000826023  0.0000005338  0.0000019403
     846.0  0.0000818412  0.0000816174  0.0000005268  0.0000019172
     847.0  0.0000789550  0.0000787386  0.0000005053  0.0000018496
     848.0  0.0000744558  0.0000742511  0.0000004716  0.0000017442
     849.0  0.0000690280  0.0000688376  0.0000004313  0.0000016170
     850.0  0.0000636219  0.0000634456  0.0000003917  0.0000014904
     851.0  0.0000592975  0.0000591324  0.0000003608  0.0000013891
     852.0  0.0000569912  0.0000568320  0.0000003457  0.0000013351
     853.0  0.0000573168  0.0000571563  0.0000003508  0.0000013427
     854.0  0.0000604242  0.0000602549  0.0000003771  0.0000014155
     855.0  0.0000659238  0.0000657392  0.0000004217  0.0000015443
     856.0  0.0000730329  0.0000728286  0.0000004787  0.0000017109
     857.0  0.0000807324  0.0000805069  0.0000005406  0.0000018912
     858.0  0.0000880407  0.0000877951  0.0000005998  0.0000020624
     859.0  0.0000942028  0.0000939400  0.0000006506  0.0000022068
     860.0  0.0000987677  0.0000984923  0.0000006892  0.0000023137
     861.0  0.0001016702  0.0001013864  0.0000007149  0.0000023817
     862.0  0.0001031106  0.0001028225  0.0000007289  0.0000024155
     863.0  0.0001035590  0.0001032693  0.0000007350  0.0000024260
     864.0  0.0001035338  0.0001032437  0.0000007370  0.0000024254
     865.0  0.0001035343  0.0001032436  0.0000007390  0.0000024254
     866.0  0.0001038366  0.0001035447  0.0000007434  0.0000024325
     867.0  0.0001045315  0.0001042372  0.0000007508  0.0000024487
     868.0  0.0001055450  0.0001052474  0.0000007607  0.0000024725
     869.0  0.0001067957  0.0001064941  0.0000007726  0.0000025018
     870.0  0.0001082662  0.0001079600  0.0000007865  0.0000025362
     871.0  0.0001099682  0.0001096569  0.0000008027  0.0000025761
     872.0  0.0001118593  0.0001115422  0.0000008205  0.0000026204
     873.0  0.0001137410  0.0001134182  0.0000008383  0.0000026645
     874.0  0.0001152753  0.0001149476  0.0000008528  0.0000027004
     875.0  0.0001161200  0.0001157894  0.0000008609  0.0000027202
     876.0  0.0001160703  0.0001157394  0.0000008607  0.0000027190
     877.0  0.0001151552  0.0001148263  0.0000008527  0.0000026976
     878.0  0.0001136234  0.0001132982  0.0000008389  0.0000026617
     879.0  0.0001117820  0.0001114613  0.0000008225  0.0000026186
     880.0  0.0001099236  0.0001096076  0.0000008059  0.0000025751
     881.0  0.0001081995  0.0001078877  0.0000007908  0.0000025347
     882.0  0.0001066702  0.0001063622  0.0000007775  0.0000024988
     883.0  0.0001053699  0.0001050650  0.0000007666  0.0000024684
     884.0  0.0001043676  0.0001040649  0.0000007585  0.0000024449
     885.0  0.0001038617  0.0001035599  0.0000007553  0.0000024330
     886.0  0.0001041570  0.0001038538  0.0000007598  0.0000024400
     887.0  0.0001056130  0.0001053050  0.0000007758  0.0000024741
     888.0  0.0001085581  0.0001082412  0.0000008063  0.0000025431
     889.0  0.0001130935  0.0001127631  0.0000008527  0.0000026493
