           z(km)    p(mb)    T(K)
       1   0.320   975.77   307.74
       2   0.374   970.03   307.48
       3   0.500   956.64   306.49
       4   0.750   930.40   303.90
       5   1.000   904.80   302.04
       6   1.500   855.10   297.61
       7   2.000   807.43   293.75
       8   2.500   761.89   289.78
       9   3.000   718.42   287.15
      10   3.500   676.88   283.55
      11   4.000   637.20   280.05
      12   4.500   599.27   275.83
      13   5.000   563.19   272.19
      14   5.500   528.77   268.47
      15   6.000   496.05   265.19
      16   6.500   464.90   261.75
      17   7.000   435.47   259.45
      18   7.500   407.59   256.52
      19   8.000   381.10   252.25
      20   8.500   356.00   248.55
      21   9.000   332.34   246.05
      22   9.500   309.82   241.91
      23  10.000   288.55   237.96
      24  11.000   249.34   230.15
      25  12.000   214.43   222.16
      26  13.000   183.40   215.05
      27  14.000   156.10   209.65
      28  15.000   132.43   204.85
      29  16.500   102.68   201.46
      30  18.000    79.86   205.41
      31  19.500    62.62   212.97
      32  21.000    49.23   213.88
      33  22.500    38.75   216.15
      34  24.000    30.67   219.98
      35  25.500    24.32   224.33
      36  27.000    19.28   226.17
      37  28.500    15.02   224.94
      38  30.000    11.97   226.50
      39  32.000     8.66   229.12
      40  34.000     6.53   233.74
      41  36.000     5.05   239.00
      42  38.000     3.86   244.37
      43  40.000     2.87   250.40
      44  42.000     2.20   255.94
      45  44.000     1.69   261.47
      46  46.000     1.31   267.14
      47  48.000     1.02   271.05
      48  50.000     0.80   270.70
      49  52.000     0.62   267.94
      50  54.000     0.48   263.46
      51  56.000     0.37   258.22
      52  58.000     0.29   252.73
      53  60.000     0.22   247.00
      54  64.000     0.13   236.04
      55  68.000     0.07   224.92
