Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
      10.5     0.0007304     0.0008104
      11.5     0.0008823     0.0009740
      12.5     0.0009569     0.0011552
      13.5     0.0011763     0.0013411
      14.5     0.0012584     0.0015464
      15.5     0.0014691     0.0017638
      16.5     0.0016432     0.0019939
      17.5     0.0017856     0.0022400
      18.5     0.0018251     0.0024987
      19.5     0.0021603     0.0027675
      20.5     0.0024525     0.0030499
      21.5     0.0027633     0.0033445
      22.5     0.0030499     0.0036538
      23.5     0.0032317     0.0039778
      24.5     0.0032976     0.0043162
      25.5     0.0034467     0.0046645
      26.5     0.0040483     0.0050220
      27.5     0.0043504     0.0053922
      28.5     0.0047336     0.0057759
      29.5     0.0050643     0.0061734
      30.5     0.0051826     0.0065903
      31.5     0.0056038     0.0070082
      32.5     0.0055201     0.0074452
      33.5     0.0059264     0.0078890
      34.5     0.0064350     0.0083452
      35.5     0.0065684     0.0088150
      36.5     0.0066023     0.0092993
      37.5     0.0070013     0.0097899
      38.5     0.0073159     0.0102926
      39.5     0.0077564     0.0108058
      40.5     0.0080830     0.0113302
      41.5     0.0086731     0.0118678
      42.5     0.0094327     0.0124141
      43.5     0.0098717     0.0129732
      44.5     0.0102235     0.0135405
      45.5     0.0107913     0.0141183
      46.5     0.0106949     0.0147123
      47.5     0.0110481     0.0153113
      48.5     0.0118525     0.0159242
      49.5     0.0125750     0.0165445
      50.5     0.0129602     0.0171726
      51.5     0.0132888     0.0178163
      52.5     0.0135835     0.0184678
      53.5     0.0134706     0.0191368
      54.5     0.0139423     0.0198027
      55.5     0.0144172     0.0204894
      56.5     0.0145993     0.0211785
      57.5     0.0152373     0.0218728
      58.5     0.0158785     0.0225889
      59.5     0.0165050     0.0233081
      60.5     0.0171222     0.0240306
      61.5     0.0178040     0.0247740
      62.5     0.0178106     0.0255188
      63.5     0.0184375     0.0262699
      64.5     0.0190969     0.0270370
      65.5     0.0202651     0.0278024
      66.5     0.0209246     0.0285861
      67.5     0.0207078     0.0293828
      68.5     0.0211014     0.0301768
      69.5     0.0216233     0.0309857
      70.5     0.0227469     0.0318075
      71.5     0.0225710     0.0326328
      72.5     0.0229049     0.0334581
      73.5     0.0233718     0.0343054
      74.5     0.0241005     0.0351561
      75.5     0.0245628     0.0360063
      76.5     0.0257620     0.0368681
      77.5     0.0264232     0.0377479
      78.5     0.0263713     0.0386286
      79.5     0.0268204     0.0395065
      80.5     0.0276025     0.0404075
      81.5     0.0281958     0.0413139
      82.5     0.0288839     0.0422201
      83.5     0.0302391     0.0431240
      84.5     0.0311135     0.0440487
      85.5     0.0311825     0.0449886
      86.5     0.0315215     0.0459273
      87.5     0.0314888     0.0468669
      88.5     0.0324342     0.0478151
      89.5     0.0327264     0.0487823
      90.5     0.0338960     0.0497494
      91.5     0.0339259     0.0507183
      92.5     0.0348700     0.0516881
      93.5     0.0351359     0.0526773
      94.5     0.0365568     0.0536749
      95.5     0.0369640     0.0546746
      96.5     0.0376561     0.0556743
      97.5     0.0385073     0.0566733
      98.5     0.0382765     0.0576965
      99.5     0.0392121     0.0587271
     100.5     0.0398956     0.0597572
     101.5     0.0401893     0.0607869
     102.5     0.0418126     0.0618154
     103.5     0.0422147     0.0628545
     104.5     0.0423423     0.0639087
     105.5     0.0429563     0.0649816
     106.5     0.0439801     0.0660520
     107.5     0.0444948     0.0671237
     108.5     0.0465272     0.0681920
     109.5     0.0472127     0.0692622
     110.5     0.0462256     0.0703348
     111.5     0.0472751     0.0714213
     112.5     0.0492956     0.0725213
     113.5     0.0510141     0.0736223
     114.5     0.0520802     0.0747255
     115.5     0.0527717     0.0758306
     116.5     0.0521828     0.0769408
     117.5     0.0522987     0.0780465
     118.5     0.0527563     0.0791776
     119.5     0.0525578     0.0803138
     120.5     0.0531257     0.0814503
     121.5     0.0539884     0.0825859
     122.5     0.0537788     0.0837211
     123.5     0.0558295     0.0848548
     124.5     0.0570688     0.0859882
     125.5     0.0571183     0.0871443
     126.5     0.0574023     0.0883088
     127.5     0.0575294     0.0894711
     128.5     0.0589312     0.0906321
     129.5     0.0610368     0.0917917
     130.5     0.0611420     0.0929716
     131.5     0.0610143     0.0941594
     132.5     0.0615110     0.0953461
     133.5     0.0614542     0.0965312
     134.5     0.0642729     0.0977134
     135.5     0.0654840     0.0988993
     136.5     0.0671896     0.1000823
     137.5     0.0669780     0.1012707
     138.5     0.0658624     0.1024577
     139.5     0.0657461     0.1036662
     140.5     0.0664017     0.1048806
     141.5     0.0679622     0.1060941
     142.5     0.0715725     0.1073039
     143.5     0.0732075     0.1085152
     144.5     0.0736938     0.1097307
     145.5     0.0742554     0.1109461
     146.5     0.0741796     0.1121620
     147.5     0.0728793     0.1133803
     148.5     0.0717995     0.1146068
     149.5     0.0726282     0.1158460
     150.5     0.0746919     0.1170851
     151.5     0.0738556     0.1183237
     152.5     0.0748605     0.1195615
     153.5     0.0755998     0.1208014
     154.5     0.0779358     0.1220376
     155.5     0.0803223     0.1232864
     156.5     0.0795105     0.1245463
     157.5     0.0792122     0.1258047
     158.5     0.0795680     0.1270609
     159.5     0.0844703     0.1283122
     160.5     0.0853705     0.1295678
     161.5     0.0853995     0.1308223
     162.5     0.0888088     0.1320735
     163.5     0.0897939     0.1333280
     164.5     0.0907400     0.1345859
     165.5     0.0891389     0.1358511
     166.5     0.0849626     0.1371158
     167.5     0.0888213     0.1383649
     168.5     0.0881088     0.1396269
     169.5     0.0859205     0.1409059
     170.5     0.0882274     0.1421826
     171.5     0.0883026     0.1434551
     172.5     0.0904130     0.1447287
     173.5     0.0894743     0.1460073
     174.5     0.0931467     0.1472773
     175.5     0.0925595     0.1485555
     176.5     0.0921285     0.1498321
     177.5     0.0919352     0.1511080
     178.5     0.0943230     0.1523809
     179.5     0.0986330     0.1536570
     180.5     0.0994127     0.1549539
     181.5     0.0959992     0.1562476
     182.5     0.1028426     0.1575249
     183.5     0.0999224     0.1588157
     184.5     0.1059887     0.1600888
     185.5     0.1077065     0.1613767
     186.5     0.1058478     0.1626686
     187.5     0.1010229     0.1639680
     188.5     0.1004202     0.1652591
     189.5     0.1075032     0.1665337
     190.5     0.1118834     0.1678102
     191.5     0.1136460     0.1690959
     192.5     0.1126391     0.1703936
     193.5     0.1058530     0.1716956
     194.5     0.1069372     0.1729830
     195.5     0.1100413     0.1742669
     196.5     0.1142233     0.1755472
     197.5     0.1098129     0.1768431
     198.5     0.1147303     0.1781212
     199.5     0.1136544     0.1794105
     200.5     0.1093612     0.1807045
     201.5     0.1073682     0.1819953
     202.5     0.1141741     0.1832851
     203.5     0.1071628     0.1845588
     204.5     0.1120916     0.1858413
     205.5     0.1157719     0.1871271
     206.5     0.1162965     0.1884061
     207.5     0.1119731     0.1896909
     208.5     0.1124820     0.1909734
     209.5     0.1147808     0.1922475
     210.5     0.1183791     0.1935218
     211.5     0.1229845     0.1947951
     212.5     0.1208188     0.1960839
     213.5     0.1201750     0.1973624
     214.5     0.1170027     0.1986450
     215.5     0.1248556     0.1999088
     216.5     0.1317398     0.2011759
     217.5     0.1346171     0.2024437
     218.5     0.1347518     0.2037217
     219.5     0.1328547     0.2050099
     220.5     0.1272342     0.2063051
     221.5     0.1203689     0.2075982
     222.5     0.1239041     0.2088721
     223.5     0.1235920     0.2101545
     224.5     0.1285230     0.2114279
     225.5     0.1246295     0.2127100
     226.5     0.1225567     0.2139934
     227.5     0.1246120     0.2152728
     228.5     0.1232527     0.2165498
     229.5     0.1321585     0.2178233
     230.5     0.1352737     0.2190892
     231.5     0.1372914     0.2203380
     232.5     0.1416701     0.2215756
     233.5     0.1391161     0.2228296
     234.5     0.1506687     0.2240333
     235.5     0.1522062     0.2252764
     236.5     0.1547794     0.2265036
     237.5     0.1556494     0.2277502
     238.5     0.1569577     0.2289933
     239.5     0.1575386     0.2302437
     240.5     0.1576261     0.2314990
     241.5     0.1569862     0.2327598
     242.5     0.1537764     0.2340287
     243.5     0.1498713     0.2353053
     244.5     0.1367462     0.2365800
     245.5     0.1331410     0.2378321
     246.5     0.1384316     0.2390741
     247.5     0.1365847     0.2403290
     248.5     0.1352590     0.2415790
     249.5     0.1453887     0.2428218
     250.5     0.1507950     0.2440598
     251.5     0.1480048     0.2453132
     252.5     0.1441128     0.2465561
     253.5     0.1411043     0.2477921
     254.5     0.1375225     0.2490210
     255.5     0.1474375     0.2502240
     256.5     0.1523215     0.2514156
     257.5     0.1607881     0.2525989
     258.5     0.1672576     0.2537708
     259.5     0.1710221     0.2549463
     260.5     0.1743807     0.2561266
     261.5     0.1764049     0.2573148
     262.5     0.1755942     0.2585350
     263.5     0.1681443     0.2597622
     264.5     0.1743966     0.2609615
     265.5     0.1599151     0.2622288
     266.5     0.1509586     0.2634456
     267.5     0.1701419     0.2646164
     268.5     0.1816469     0.2657323
     269.5     0.1844104     0.2669016
     270.5     0.1852911     0.2680992
     271.5     0.1798466     0.2693652
     272.5     0.1818189     0.2705621
     273.5     0.1802733     0.2717554
     274.5     0.1774449     0.2729478
     275.5     0.1588844     0.2741719
     276.5     0.1539959     0.2753530
     277.5     0.1530659     0.2765249
     278.5     0.1508219     0.2777001
     279.5     0.1579831     0.2788669
     280.5     0.1541562     0.2800218
     281.5     0.1552359     0.2811548
     282.5     0.1531480     0.2822943
     283.5     0.1682532     0.2834066
     284.5     0.1802140     0.2845231
     285.5     0.1821935     0.2856399
     286.5     0.1876992     0.2867478
     287.5     0.1848511     0.2879035
     288.5     0.1722607     0.2890815
     289.5     0.1553151     0.2902440
     290.5     0.1665373     0.2913696
     291.5     0.1883474     0.2924444
     292.5     0.1984294     0.2935046
     293.5     0.2030852     0.2945924
     294.5     0.2046748     0.2957153
     295.5     0.1965956     0.2968979
     296.5     0.2059260     0.2980004
     297.5     0.2023552     0.2991773
     298.5     0.1804106     0.3003758
     299.5     0.1915056     0.3014363
