The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  773.07        675.04        173.55        132.34
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     820.0  0.0007365737  0.0007359129  0.0000031327  0.0000056358
     821.0  0.0007410757  0.0007404095  0.0000031591  0.0000056703
     822.0  0.0007393415  0.0007386763  0.0000031468  0.0000056570
     823.0  0.0007328053  0.0007321451  0.0000031048  0.0000056070
     824.0  0.0007240736  0.0007234206  0.0000030497  0.0000055402
     825.0  0.0007161884  0.0007155418  0.0000030010  0.0000054798
     826.0  0.0007120325  0.0007113887  0.0000029773  0.0000054480
     827.0  0.0007137093  0.0007130625  0.0000029917  0.0000054609
     828.0  0.0007217308  0.0007210750  0.0000030473  0.0000055222
     829.0  0.0007350200  0.0007343502  0.0000031367  0.0000056239
     830.0  0.0007512422  0.0007505554  0.0000032441  0.0000057480
     831.0  0.0007673412  0.0007666376  0.0000033500  0.0000058712
     832.0  0.0007806960  0.0007799782  0.0000034369  0.0000059734
     833.0  0.0007893543  0.0007886271  0.0000034928  0.0000060396
     834.0  0.0007925555  0.0007918237  0.0000035130  0.0000060641
     835.0  0.0007905562  0.0007898255  0.0000034998  0.0000060488
     836.0  0.0007845317  0.0007838057  0.0000034609  0.0000060028
     837.0  0.0007763607  0.0007756416  0.0000034087  0.0000059402
     838.0  0.0007685149  0.0007678019  0.0000033586  0.0000058802
     839.0  0.0007633744  0.0007626652  0.0000033259  0.0000058409
     840.0  0.0007629115  0.0007622014  0.0000033231  0.0000058373
     841.0  0.0007676520  0.0007669356  0.0000033539  0.0000058736
     842.0  0.0007765351  0.0007758089  0.0000034118  0.0000059416
     843.0  0.0007868512  0.0007861136  0.0000034797  0.0000060205
     844.0  0.0007950026  0.0007942557  0.0000035347  0.0000060829
     845.0  0.0007973868  0.0007966363  0.0000035536  0.0000061011
     846.0  0.0007915118  0.0007907657  0.0000035202  0.0000060562
