The first HR value is a filler; the 2nd HR corresponds to the layer
between levels 66 and 65, the 3rd HR corresponds to the layer between
levels 65 and 64, etc.
     level  p(mb) flxup(W/m2) flxdn(W/m2) HR(K/day)
      66    0.10    229.18      0.00      0.00
      65    0.13    229.22      0.11    -20.13
      64    0.17    229.26      0.19     -8.86
      63    0.22    229.30      0.30     -9.59
      62    0.29    229.35      0.44    -11.76
      61    0.37    229.38      0.60    -13.64
      60    0.48    229.40      0.80    -14.51
      59    0.61    229.40      1.03    -15.00
      58    0.77    229.38      1.31    -15.11
      57    0.99    229.32      1.64    -14.97
      56    1.26    229.23      2.01    -14.51
      55    1.61    229.09      2.45    -13.93
      54    2.06    228.88      2.94    -13.14
      53    2.64    228.60      3.49    -12.03
      52    3.40    228.25      4.05    -10.19
      51    4.42    227.86      4.65     -8.19
      50    5.77    227.43      5.30     -6.72
      49    7.60    226.99      6.03     -5.37
      48   10.09    226.56      6.86     -4.27
      47   13.40    226.17      7.87     -3.59
      46   16.63    225.87      8.76     -3.12
      45   20.69    225.56      9.80     -2.79
      44   25.81    225.16     10.99     -2.63
      43   30.36    224.63     12.13     -3.09
      42   37.61    224.61     13.89     -2.07
      41   47.52    224.69     15.63     -1.41
      40   59.99    224.86     17.49     -1.15
      39   75.83    225.46     19.35     -0.67
      38   95.65    226.02     21.68     -0.75
      37  120.62    226.87     24.46     -0.65
      36  140.80    227.34     26.29     -0.57
      35  164.17    227.32     28.08     -0.65
      34  192.17    227.06     28.47     -0.20
      33  225.63    229.52     31.20     -0.07
      32  263.97    233.71     37.52     -0.47
      31  285.03    236.28     42.03     -0.78
      30  307.28    239.14     47.86     -1.13
      29  330.94    242.31     55.15     -1.47
      28  355.95    246.14     64.87     -1.99
      27  382.43    251.55     75.61     -1.70
      26  410.43    255.27     81.43     -0.63
      25  440.00    259.06     88.55     -0.95
      24  471.10    263.00     98.31     -1.58
      23  504.04    266.35    106.94     -1.35
      22  538.94    269.15    113.38     -0.88
      21  576.03    271.91    121.41     -1.20
      20  615.29    273.97    129.98     -1.40
      19  656.90    276.84    147.75     -3.02
      18  701.20    277.22    151.10     -0.57
      17  748.57    277.46    153.42     -0.37
      16  799.04    279.92    157.87     -0.33
      15  841.54    282.44    165.02     -0.92
      14  874.81    283.66    171.07     -1.23
      13  909.28    285.78    178.48     -1.30
      12  924.09    286.73    182.03     -1.48
      11  939.13    286.93    184.79     -1.44
      10  954.43    287.37    187.36     -1.18
       9  969.82    287.75    190.43     -1.47
       8  977.65    287.20    191.51     -1.75
       7  985.55    285.95    191.88     -1.74
       6  993.50    285.07    191.51     -0.53
       5 1001.70    284.73    191.85     -0.71
       4 1009.80    284.42    191.81     -0.27
       3 1017.90    285.11    192.76     -0.27
       2 1024.82    285.85    194.05     -0.67
       1 1031.73    286.58    195.69     -1.11
