The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
     820.0     0.00937     0.00020    1.65699005
     821.0     0.00937     0.00020    1.66102004
     822.0     0.00937     0.00020    1.66494000
     823.0     0.00937     0.00020    1.66891003
     824.0     0.00937     0.00020    1.67293000
     825.0     0.00937     0.00020    1.67691004
     826.0     0.00937     0.00020    1.68087995
     827.0     0.00937     0.00020    1.68482995
     828.0     0.00937     0.00020    1.68850994
     829.0     0.00937     0.00020    1.69274998
     830.0     0.00937     0.00021    1.69676006
     831.0     0.00937     0.00021    1.70084000
     832.0     0.00937     0.00021    1.70483994
     833.0     0.00937     0.00021    1.70880997
     834.0     0.00937     0.00021    1.71229005
     835.0     0.00937     0.00021    1.71677005
     836.0     0.00937     0.00021    1.72068000
     837.0     0.00937     0.00021    1.72486997
     838.0     0.00937     0.00021    1.72885001
     839.0     0.00937     0.00021    1.73277998
     840.0     0.00937     0.00021    1.73687005
     841.0     0.00937     0.00021    1.74083996
     842.0     0.00937     0.00021    1.74515998
     843.0     0.00937     0.00021    1.74895000
     844.0     0.00937     0.00021    1.75328004
     845.0     0.00937     0.00021    1.75730002
     846.0     0.00937     0.00021    1.76136994
     847.0     0.00937     0.00021    1.76543999
     848.0     0.00937     0.00021    1.76953995
     849.0     0.00937     0.00021    1.77340996
     850.0     0.00937     0.00021    1.77754998
     851.0     0.00937     0.00021    1.78176999
     852.0     0.00937     0.00021    1.78578997
     853.0     0.00937     0.00021    1.78994000
     854.0     0.00937     0.00021    1.79402995
     855.0     0.00937     0.00021    1.79820001
     856.0     0.00937     0.00021    1.80232000
     857.0     0.00937     0.00022    1.80610001
     858.0     0.00937     0.00022    1.81048000
     859.0     0.00937     0.00022    1.81463003
     860.0     0.00937     0.00022    1.81868994
     861.0     0.00937     0.00022    1.82280004
     862.0     0.00937     0.00023    1.82707000
     863.0     0.00937     0.00023    1.83115995
     864.0     0.00937     0.00023    1.83536994
     865.0     0.00937     0.00023    1.83921003
     866.0     0.00937     0.00023    1.84311998
     867.0     0.00937     0.00023    1.84764004
     868.0     0.00937     0.00023    1.85194004
     869.0     0.00937     0.00023    1.85618997
     870.0     0.00937     0.00023    1.86034000
     871.0     0.00937     0.00023    1.86459005
     872.0     0.00937     0.00023    1.86865997
     873.0     0.00937     0.00023    1.87241006
     874.0     0.00937     0.00023    1.87709999
     875.0     0.00937     0.00023    1.88129997
     876.0     0.00937     0.00023    1.88552999
     877.0     0.00937     0.00023    1.88952005
     878.0     0.00937     0.00023    1.89385998
     879.0     0.00937     0.00023    1.89784002
     880.0     0.00937     0.00023    1.90221000
     881.0     0.00937     0.00023    1.90610003
     882.0     0.00937     0.00023    1.91069996
     883.0     0.00937     0.00023    1.91492999
     884.0     0.00937     0.00023    1.91474998
     885.0     0.00937     0.00023    1.92271996
     886.0     0.00937     0.00023    1.92763996
     887.0     0.00937     0.00023    1.93199003
     888.0     0.00937     0.00023    1.93627000
     889.0     0.00937     0.00024    1.94033003
     890.0     0.00937     0.00024    1.94474995
     891.0     0.00937     0.00024    1.94891000
     892.0     0.00937     0.00024    1.95325005
     893.0     0.00937     0.00024    1.95754004
     894.0     0.00937     0.00024    1.96115005
     895.0     0.00937     0.00024    1.96612000
     896.0     0.00937     0.00025    1.97040999
     897.0     0.00937     0.00025    1.97450995
     898.0     0.00937     0.00025    1.97903001
     899.0     0.00937     0.00025    1.98333001
     900.0     0.00937     0.00025    1.98765004
     901.0     0.00937     0.00025    1.99164999
     902.0     0.00937     0.00025    1.99559999
     903.0     0.00937     0.00025    2.00054002
     904.0     0.00937     0.00025    2.00475001
     905.0     0.00937     0.00025    2.00856996
     906.0     0.00937     0.00025    2.01352000
     907.0     0.00937     0.00025    2.01764989
     908.0     0.00937     0.00025    2.02212000
     909.0     0.00937     0.00025    2.02648997
     910.0     0.00937     0.00025    2.03077006
     911.0     0.00937     0.00025    2.03490996
     912.0     0.00937     0.00025    2.03946996
     913.0     0.00937     0.00025    2.04398990
     914.0     0.00937     0.00025    2.04836988
     915.0     0.00937     0.00025    2.05253005
     916.0     0.00937     0.00025    2.05632997
     917.0     0.00937     0.00025    2.06115007
     918.0     0.00937     0.00025    2.06576991
     919.0     0.00937     0.00025    2.06996012
     920.0     0.00937     0.00025    2.07464004
     921.0     0.00937     0.00025    2.07852006
     922.0     0.00937     0.00025    2.08298993
     923.0     0.00937     0.00025    2.08784008
     924.0     0.00937     0.00025    2.09217000
     925.0     0.00937     0.00025    2.09644008
     926.0     0.00937     0.00025    2.10097003
     927.0     0.00937     0.00026    2.10489988
     928.0     0.00937     0.00026    2.11001992
     929.0     0.00937     0.00026    2.11441994
     930.0     0.00937     0.00026    2.11882997
     931.0     0.00937     0.00026    2.12318993
     932.0     0.00937     0.00026    2.12764001
     933.0     0.00937     0.00026    2.13158011
     934.0     0.00937     0.00026    2.13654995
     935.0     0.00937     0.00026    2.14080000
     936.0     0.00937     0.00026    2.14554000
     937.0     0.00937     0.00025    2.14984989
     938.0     0.00937     0.00025    2.15426993
     939.0     0.00937     0.00025    2.15845990
     940.0     0.00937     0.00025    2.16339993
     941.0     0.00937     0.00025    2.16793990
     942.0     0.00937     0.00025    2.17233992
     943.0     0.00937     0.00025    2.17669010
     944.0     0.00937     0.00025    2.18138003
     945.0     0.00937     0.00025    2.18560004
     946.0     0.00937     0.00025    2.19034004
     947.0     0.00937     0.00025    2.19476008
     948.0     0.00937     0.00025    2.19938993
     949.0     0.00937     0.00025    2.20396996
     950.0     0.00937     0.00025    2.20825005
     951.0     0.00937     0.00025    2.21195006
     952.0     0.00937     0.00025    2.21607995
     953.0     0.00937     0.00025    2.22144008
     954.0     0.00937     0.00026    2.22653008
     955.0     0.00937     0.00026    2.23111010
     956.0     0.00937     0.00026    2.23572993
     957.0     0.00937     0.00026    2.24030995
     958.0     0.00937     0.00027    2.24482989
     959.0     0.00937     0.00027    2.24944997
     960.0     0.00937     0.00027    2.25404000
     961.0     0.00937     0.00027    2.25861001
     962.0     0.00937     0.00027    2.26312995
     963.0     0.00937     0.00027    2.26754999
     964.0     0.00937     0.00027    2.27224994
     965.0     0.00937     0.00027    2.27688003
     966.0     0.00937     0.00026    2.28148007
     967.0     0.00937     0.00026    2.28609991
     968.0     0.00937     0.00026    2.29035997
     969.0     0.00937     0.00026    2.29482007
     970.0     0.00937     0.00026    2.29996991
     971.0     0.00937     0.00026    2.30429006
     972.0     0.00937     0.00026    2.30897999
     973.0     0.00937     0.00026    2.31383991
     974.0     0.00937     0.00026    2.31835008
     975.0     0.00937     0.00026    2.32287002
     976.0     0.00937     0.00026    2.32729006
     977.0     0.00937     0.00026    2.33209991
     978.0     0.00937     0.00026    2.33697009
     979.0     0.00937     0.00026    2.34167004
     980.0     0.00937     0.00026    2.34623003
     981.0     0.00937     0.00027    2.35054994
     982.0     0.00937     0.00027    2.35544991
     983.0     0.00937     0.00027    2.36026001
     984.0     0.00937     0.00027    2.36461997
     985.0     0.00937     0.00027    2.36965990
     986.0     0.00937     0.00027    2.37430000
     987.0     0.00937     0.00027    2.37891006
     988.0     0.00937     0.00027    2.38368011
     989.0     0.00937     0.00027    2.38821006
     990.0     0.00937     0.00027    2.39209008
     991.0     0.00937     0.00027    2.39786005
