Flux units are Wm-2/cm-1    
    wavn(cm-1) flxtoa_up     flxsfc_dn
      10.5     0.0007246     0.0007728
      11.5     0.0008733     0.0009249
      12.5     0.0009612     0.0010941
      13.5     0.0011716     0.0012701
      14.5     0.0012623     0.0014642
      15.5     0.0014770     0.0016695
      16.5     0.0016501     0.0018872
      17.5     0.0018059     0.0021205
      18.5     0.0018464     0.0023658
      19.5     0.0021877     0.0026197
      20.5     0.0024774     0.0028858
      21.5     0.0027725     0.0031633
      22.5     0.0030658     0.0034551
      23.5     0.0032513     0.0037616
      24.5     0.0033390     0.0040828
      25.5     0.0034770     0.0044118
      26.5     0.0040804     0.0047469
      27.5     0.0043618     0.0050960
      28.5     0.0047471     0.0054578
      29.5     0.0050938     0.0058332
      30.5     0.0052342     0.0062264
      31.5     0.0056504     0.0066203
      32.5     0.0055871     0.0070342
      33.5     0.0059977     0.0074559
      34.5     0.0064848     0.0078839
      35.5     0.0066488     0.0083273
      36.5     0.0066621     0.0087805
      37.5     0.0070725     0.0092436
      38.5     0.0073734     0.0097169
      39.5     0.0078563     0.0102045
      40.5     0.0081525     0.0106975
      41.5     0.0087779     0.0112034
      42.5     0.0095391     0.0117131
      43.5     0.0099822     0.0122399
      44.5     0.0103291     0.0127726
      45.5     0.0109020     0.0133163
      46.5     0.0107945     0.0138774
      47.5     0.0111668     0.0144438
      48.5     0.0119530     0.0150107
      49.5     0.0126884     0.0155925
      50.5     0.0130689     0.0161843
      51.5     0.0134351     0.0167941
      52.5     0.0137359     0.0174033
      53.5     0.0136205     0.0180313
      54.5     0.0141435     0.0186589
      55.5     0.0144496     0.0193025
      56.5     0.0147727     0.0199516
      57.5     0.0153500     0.0206006
      58.5     0.0160546     0.0212664
      59.5     0.0166945     0.0219383
      60.5     0.0172924     0.0226183
      61.5     0.0180281     0.0233154
      62.5     0.0179902     0.0240152
      63.5     0.0186680     0.0247175
      64.5     0.0192967     0.0254387
      65.5     0.0205020     0.0261556
      66.5     0.0211635     0.0268817
      67.5     0.0209647     0.0276331
      68.5     0.0213503     0.0283799
      69.5     0.0218484     0.0291267
      70.5     0.0230208     0.0298914
      71.5     0.0228584     0.0306635
      72.5     0.0230938     0.0314364
      73.5     0.0235571     0.0322271
      74.5     0.0243501     0.0330213
      75.5     0.0247806     0.0338161
      76.5     0.0261116     0.0346177
      77.5     0.0267764     0.0354381
      78.5     0.0266379     0.0362604
      79.5     0.0270422     0.0370824
      80.5     0.0279943     0.0379259
      81.5     0.0285608     0.0387731
      82.5     0.0291691     0.0396205
      83.5     0.0305852     0.0404625
      84.5     0.0315132     0.0413150
      85.5     0.0315649     0.0421943
      86.5     0.0320033     0.0430717
      87.5     0.0317593     0.0439507
      88.5     0.0326158     0.0448268
      89.5     0.0331217     0.0457249
      90.5     0.0344183     0.0466266
      91.5     0.0344067     0.0475319
      92.5     0.0349933     0.0484374
      93.5     0.0356559     0.0493417
      94.5     0.0370831     0.0502686
      95.5     0.0375099     0.0511999
      96.5     0.0380370     0.0521310
      97.5     0.0391222     0.0530589
      98.5     0.0387001     0.0540013
      99.5     0.0395466     0.0549612
     100.5     0.0400719     0.0559212
     101.5     0.0406425     0.0568803
     102.5     0.0424861     0.0578368
     103.5     0.0429067     0.0587950
     104.5     0.0426307     0.0597700
     105.5     0.0433533     0.0607575
     106.5     0.0445589     0.0617461
     107.5     0.0450581     0.0627370
     108.5     0.0472113     0.0637219
     109.5     0.0479595     0.0647105
     110.5     0.0469424     0.0657060
     111.5     0.0477550     0.0667151
     112.5     0.0500951     0.0677291
     113.5     0.0517627     0.0687445
     114.5     0.0528094     0.0697635
     115.5     0.0534862     0.0707859
     116.5     0.0529349     0.0718175
     117.5     0.0530213     0.0728398
     118.5     0.0536184     0.0738760
     119.5     0.0533754     0.0749276
     120.5     0.0537026     0.0759793
     121.5     0.0544608     0.0770292
     122.5     0.0544674     0.0780787
     123.5     0.0567421     0.0791254
     124.5     0.0580635     0.0801734
     125.5     0.0581482     0.0812209
     126.5     0.0578525     0.0822938
     127.5     0.0581609     0.0833653
     128.5     0.0599547     0.0844350
     129.5     0.0621251     0.0855015
     130.5     0.0622160     0.0865873
     131.5     0.0617794     0.0876811
     132.5     0.0618182     0.0887726
     133.5     0.0623275     0.0898610
     134.5     0.0655021     0.0909446
     135.5     0.0666708     0.0920340
     136.5     0.0684025     0.0931190
     137.5     0.0682370     0.0942136
     138.5     0.0667209     0.0953087
     139.5     0.0662791     0.0964072
     140.5     0.0671324     0.0975227
     141.5     0.0691297     0.0986362
     142.5     0.0729065     0.0997423
     143.5     0.0745457     0.1008524
     144.5     0.0750590     0.1019694
     145.5     0.0756692     0.1030862
     146.5     0.0756592     0.1042049
     147.5     0.0744004     0.1053275
     148.5     0.0727191     0.1064494
     149.5     0.0732927     0.1075632
     150.5     0.0748849     0.1086868
     151.5     0.0747228     0.1098171
     152.5     0.0762977     0.1109464
     153.5     0.0763200     0.1120795
     154.5     0.0795709     0.1132086
     155.5     0.0819808     0.1143548
     156.5     0.0809240     0.1155055
     157.5     0.0800925     0.1166532
     158.5     0.0810277     0.1177970
     159.5     0.0861729     0.1189317
     160.5     0.0869803     0.1200740
     161.5     0.0870670     0.1212159
     162.5     0.0905621     0.1223508
     163.5     0.0915940     0.1234915
     164.5     0.0925310     0.1246385
     165.5     0.0910075     0.1257976
     166.5     0.0862833     0.1269570
     167.5     0.0908033     0.1280932
     168.5     0.0900782     0.1292397
     169.5     0.0875537     0.1303930
     170.5     0.0886645     0.1315522
     171.5     0.0902407     0.1327047
     172.5     0.0925243     0.1338590
     173.5     0.0905079     0.1350223
     174.5     0.0953282     0.1361703
     175.5     0.0944430     0.1373326
     176.5     0.0937652     0.1384926
     177.5     0.0928721     0.1396516
     178.5     0.0964391     0.1408038
     179.5     0.1007811     0.1419562
     180.5     0.1016824     0.1431253
     181.5     0.0976803     0.1442964
     182.5     0.1051139     0.1454368
     183.5     0.1020210     0.1466036
     184.5     0.1083901     0.1477366
     185.5     0.1100390     0.1488954
     186.5     0.1083149     0.1500648
     187.5     0.1033763     0.1512457
     188.5     0.1019544     0.1524116
     189.5     0.1100314     0.1535483
     190.5     0.1143318     0.1546876
     191.5     0.1160666     0.1558426
     192.5     0.1150951     0.1570195
     193.5     0.1080220     0.1582069
     194.5     0.1090002     0.1593659
     195.5     0.1123621     0.1605186
     196.5     0.1168233     0.1616645
     197.5     0.1122174     0.1628399
     198.5     0.1174392     0.1639826
     199.5     0.1164793     0.1651463
     200.5     0.1120331     0.1663177
     201.5     0.1097906     0.1674834
     202.5     0.1140992     0.1686470
     203.5     0.1090412     0.1698044
     204.5     0.1150074     0.1709586
     205.5     0.1187892     0.1721026
     206.5     0.1193464     0.1732444
     207.5     0.1146825     0.1743970
     208.5     0.1134067     0.1755452
     209.5     0.1177249     0.1766781
     210.5     0.1212860     0.1778116
     211.5     0.1261046     0.1789420
     212.5     0.1234755     0.1801011
     213.5     0.1227309     0.1812429
     214.5     0.1195392     0.1823920
     215.5     0.1277855     0.1835052
     216.5     0.1348361     0.1846230
     217.5     0.1376948     0.1857451
     218.5     0.1378933     0.1868873
     219.5     0.1361240     0.1880471
     220.5     0.1306559     0.1892193
     221.5     0.1220578     0.1903864
     222.5     0.1272214     0.1915188
     223.5     0.1261947     0.1926667
     224.5     0.1319602     0.1937979
     225.5     0.1278477     0.1949464
     226.5     0.1243069     0.1960966
     227.5     0.1257975     0.1972391
     228.5     0.1260569     0.1983774
     229.5     0.1357607     0.1994985
     230.5     0.1386127     0.2006093
     231.5     0.1405464     0.2017141
     232.5     0.1450168     0.2027995
     233.5     0.1423178     0.2039169
     234.5     0.1539856     0.2049387
