To calculate layer aerosol optical thickness at wavelength lambda 
(um=microns), use tau_aer=AOD(1um)*lambda^(-alpha)
      Angstrom alpha exponent
      1.21
Indices increase from bottom to top      
    layer AOD(1um)   SSA      g       
       1  0.00270   0.990   0.770
       2  0.00620   0.990   0.780
       3  0.00310   0.990   0.800
       4  0.00310   0.990   0.810
       5  0.00310   0.990   0.820
       6  0.00320   0.990   0.820
       7  0.00310   0.990   0.820
       8  0.00300   0.990   0.820
       9  0.00300   0.990   0.810
      10  0.00290   0.990   0.800
      11  0.00460   0.990   0.790
      12  0.00450   0.990   0.800
      13  0.00430   0.990   0.800
      14  0.00390   0.990   0.800
      15  0.00360   0.990   0.810
      16  0.00320   0.990   0.810
      17  0.00270   0.990   0.800
      18  0.00230   0.990   0.800
      19  0.00200   0.990   0.790
      20  0.00180   0.990   0.780
      21  0.00170   0.980   0.760
      22  0.00660   0.980   0.730
      23  0.00770   0.970   0.690
      24  0.00740   0.970   0.670
      25  0.00690   0.970   0.660
      26  0.00610   0.960   0.620
      27  0.00590   0.950   0.600
      28  0.00420   0.950   0.600
      29  0.00170   0.960   0.610
      30  0.00050   0.960   0.610
      31  0.00020   0.950   0.610
      32  0.00020   0.950   0.600
      33  0.00000   0.000   0.000
      34  0.00000   0.000   0.000
      35  0.00000   0.000   0.000
      36  0.00000   0.000   0.000
      37  0.00000   0.000   0.000
      38  0.00000   0.000   0.000
      39  0.00000   0.000   0.000
      40  0.00000   0.000   0.000
      41  0.00000   0.000   0.000
      42  0.00000   0.000   0.000
      43  0.00000   0.000   0.000
      44  0.00000   0.000   0.000
      45  0.00000   0.000   0.000
      46  0.00000   0.000   0.000
      47  0.00000   0.000   0.000
      48  0.00000   0.000   0.000
      49  0.00000   0.000   0.000
      50  0.00000   0.000   0.000
      51  0.00000   0.000   0.000
      52  0.00000   0.000   0.000
      53  0.00000   0.000   0.000
      54  0.00000   0.000   0.000
      55  0.00000   0.000   0.000
      56  0.00000   0.000   0.000
      57  0.00000   0.000   0.000
      58  0.00000   0.000   0.000
      59  0.00000   0.000   0.000
      60  0.00000   0.000   0.000
      61  0.00000   0.000   0.000
      62  0.00000   0.000   0.000
      63  0.00000   0.000   0.000
      64  0.00000   0.000   0.000
      65  0.00000   0.000   0.000
      66  0.00000   0.000   0.000
      67  0.00000   0.000   0.000
      68  0.00000   0.000   0.000
      69  0.00000   0.000   0.000
