Cloud information (fraction, water path, effective particle size) from bottom to top
Water path is in g/m2, effective particle size is in microns
     layer CF        LWP      IWP      re_liq   re_ice
       1   0.000     0.00     0.00     0.00     0.00
       2   0.000     0.00     0.00     0.00     0.00
       3   1.000     0.90     0.00     5.51     0.00
       4   1.000     7.16     0.00     6.06     0.00
       5   1.000     8.73     0.00     6.08     0.00
       6   1.000    10.10     0.00     6.46     0.00
       7   1.000    11.86     0.00     6.88     0.00
       8   1.000    14.17     0.00     7.31     0.00
       9   1.000    16.72     0.00     7.72     0.00
      10   1.000    18.66     0.00     7.97     0.00
      11   1.000    26.55     0.00     7.66     0.00
      12   1.000    19.98     0.00     6.94     0.00
      13   1.000    14.65     0.00     6.19     0.00
      14   1.000     8.26     0.00     4.74     0.00
      15   1.000     7.71     0.00     4.89     0.00
      16   1.000    13.17     0.00     5.90     0.00
      17   1.000    20.96     0.00     6.90     0.00
      18   1.000    26.20     0.00     7.62     0.00
      19   1.000    23.36     0.00     7.25     0.00
      20   1.000    13.33     0.00     5.91     0.00
      21   1.000     0.95     0.00     2.88     0.00
      22   0.000     0.00     0.00     0.00     0.00
      23   0.000     0.00     0.00     0.00     0.00
      24   0.000     0.00     0.00     0.00     0.00
      25   0.000     0.00     0.00     0.00     0.00
      26   0.000     0.00     0.00     0.00     0.00
      27   0.000     0.00     0.00     0.00     0.00
      28   0.000     0.00     0.00     0.00     0.00
      29   0.000     0.00     0.00     0.00     0.00
      30   0.000     0.00     0.00     0.00     0.00
      31   0.000     0.00     0.00     0.00     0.00
      32   0.000     0.00     0.00     0.00     0.00
      33   0.000     0.00     0.00     0.00     0.00
      34   0.000     0.00     0.00     0.00     0.00
      35   0.000     0.00     0.00     0.00     0.00
      36   0.000     0.00     0.00     0.00     0.00
      37   0.000     0.00     0.00     0.00     0.00
      38   0.000     0.00     0.00     0.00     0.00
      39   0.000     0.00     0.00     0.00     0.00
      40   0.000     0.00     0.00     0.00     0.00
      41   0.000     0.00     0.00     0.00     0.00
      42   0.000     0.00     0.00     0.00     0.00
      43   0.000     0.00     0.00     0.00     0.00
      44   0.000     0.00     0.00     0.00     0.00
      45   0.000     0.00     0.00     0.00     0.00
      46   0.000     0.00     0.00     0.00     0.00
      47   0.000     0.00     0.00     0.00     0.00
      48   0.000     0.00     0.00     0.00     0.00
      49   0.000     0.00     0.00     0.00     0.00
      50   0.000     0.00     0.00     0.00     0.00
      51   0.000     0.00     0.00     0.00     0.00
      52   0.000     0.00     0.00     0.00     0.00
      53   0.000     0.00     0.00     0.00     0.00
      54   0.000     0.00     0.00     0.00     0.00
      55   0.000     0.00     0.00     0.00     0.00
      56   0.000     0.00     0.00     0.00     0.00
      57   0.000     0.00     0.00     0.00     0.00
      58   0.000     0.00     0.00     0.00     0.00
      59   0.000     0.00     0.00     0.00     0.00
      60   0.000     0.00     0.00     0.00     0.00
      61   0.000     0.00     0.00     0.00     0.00
      62   0.000     0.00     0.00     0.00     0.00
      63   0.000     0.00     0.00     0.00     0.00
      64   0.000     0.00     0.00     0.00     0.00
      65   0.000     0.00     0.00     0.00     0.00
      66   0.000     0.00     0.00     0.00     0.00
      67   0.000     0.00     0.00     0.00     0.00
      68   0.000     0.00     0.00     0.00     0.00
      69   0.000     0.00     0.00     0.00     0.00
