The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  473.69          0.06        356.45         77.70
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     820.0  0.0000046321  0.0000003376  0.0000025995  0.0000000347
     821.0  0.0000047125  0.0000003431  0.0000026244  0.0000000353
     822.0  0.0000047482  0.0000003454  0.0000026123  0.0000000356
     823.0  0.0000047515  0.0000003453  0.0000025729  0.0000000356
     824.0  0.0000047386  0.0000003440  0.0000025199  0.0000000355
     825.0  0.0000047347  0.0000003433  0.0000024727  0.0000000355
     826.0  0.0000047599  0.0000003447  0.0000024476  0.0000000357
     827.0  0.0000048312  0.0000003495  0.0000024576  0.0000000362
     828.0  0.0000049531  0.0000003578  0.0000025058  0.0000000371
     829.0  0.0000051161  0.0000003692  0.0000025849  0.0000000383
     830.0  0.0000053034  0.0000003823  0.0000026815  0.0000000397
     831.0  0.0000054889  0.0000003953  0.0000027755  0.0000000411
     832.0  0.0000056537  0.0000004067  0.0000028525  0.0000000424
     833.0  0.0000057798  0.0000004154  0.0000028997  0.0000000433
     834.0  0.0000058635  0.0000004210  0.0000029145  0.0000000439
     835.0  0.0000059048  0.0000004235  0.0000028980  0.0000000442
     836.0  0.0000059157  0.0000004238  0.0000028590  0.0000000443
     837.0  0.0000059109  0.0000004230  0.0000028081  0.0000000443
     838.0  0.0000059125  0.0000004226  0.0000027603  0.0000000443
     839.0  0.0000059410  0.0000004242  0.0000027293  0.0000000445
     840.0  0.0000060131  0.0000004288  0.0000027261  0.0000000450
     841.0  0.0000061336  0.0000004368  0.0000027543  0.0000000459
     842.0  0.0000062907  0.0000004475  0.0000028071  0.0000000471
     843.0  0.0000064605  0.0000004591  0.0000028694  0.0000000484
     844.0  0.0000066069  0.0000004690  0.0000029188  0.0000000495
     845.0  0.0000066980  0.0000004750  0.0000029351  0.0000000502
     846.0  0.0000067077  0.0000004752  0.0000029025  0.0000000502
     847.0  0.0000066287  0.0000004692  0.0000028171  0.0000000497
     848.0  0.0000064724  0.0000004576  0.0000026862  0.0000000485
     849.0  0.0000062678  0.0000004427  0.0000025279  0.0000000470
     850.0  0.0000060640  0.0000004278  0.0000023700  0.0000000454
     851.0  0.0000059101  0.0000004163  0.0000022406  0.0000000443
     852.0  0.0000058616  0.0000004123  0.0000021688  0.0000000439
