Colour,Count
Black,11
Black-White,1
Blue,30
Blue-grey,3
Blue-Purple,1
Blue/Grey,1
Brown,6
Brown-red-orange,1
Brown/Red,1
Dark blue,13
Dark blue-grey,2
Dark-blue,3
Dark-blue-grey,1
Dark-blue/black,1
Darkblue,11
Darkblue-black,1
Grey,4
Light blue,2
Light brown,1
Light purple,1
Ligth blue,2
Lila,1
Lime green,1
Lime Green/blue,1
Orange,1
Pink,1
Purple,24
Red,18
Red-orange,1
Rose,3
Turquios,6
White,67
White-Blue,1
White-Transparent,2
White/Grey,1
Wine-red,1
Yellow,4
Yellow-brown,4
Yellow-Red,1
