shape,"size (um)",color,"polymer types"
fragment,426.783,yellow,ALK
fragment,107.231,blue,PVC
fiber,191.119,black,RY
fragment,93.517,green,ALK
fiber,155.252,black,PET
fragment,122.322,green,ALK
fiber,505.571,orange,PET
fiber,47.443,orange,PET
fiber,87.714,orange,PET
granule,87.307,red,PE
granule,96.683,red,PE
fiber,1169.311,orange,PET
granule,106.527,red,PE
microbead,16.138,blue,EP
granule,114.186,grey,PS
granule,181.99,red,PE
granule,107.934,red,PE
fiber,82.573,orange,PET
granule,116.111,black,EP
fiber,221.908,orange,PET
fiber,198.742,orange,PET
fragment,170.101,orange,PET
fiber,262.264,orange,PET
fiber,2086.09,blue,PAN
fiber,307.124,orange,PET
fiber,157.087,orange,PET
fiber,855.448,orange,PET
fiber,120.217,orange,PET
fiber,677.315,blue,PET
fragment,253.101,white,EP
granule,106.329,red,EP
fiber,779.139,orange,PET
fiber,666.888,orange,PET
fiber,300.81,orange,PET
fragment,157.197,orange,PET
fiber,344.857,black,PET
fiber,302.077,orange,PET
fiber,794.964,orange,PET
fiber,71.332,orange,PET
fiber,184.22,pink,PET
fiber,137.293,red,PET
fiber,1785.308,blue,PET
fiber,225.529,orange,PET
fiber,601.446,orange,PET
fiber,379.327,orange,PET
fiber,796.803,orange,PET
fiber,290.263,orange,PET
fiber,391.606,orange,PET
fiber,958.142,orange,PET
fiber,706.619,orange,PET
fiber,1082.255,orange,PET
fiber,956.408,orange,PET
fiber,162.228,orange,PET
fiber,187.552,orange,PET
fiber,393.444,purplepurple,PET
fiber,177.808,orange,PET
fiber,692.82,orange,PET
fiber,128.459,orange,PET
fragment,291.907,black,PE-PP
fragment,99.27,red,EP
fiber,668.909,orange,PET
granule,97.503,red,EP
granule,80.294,red,EP
fiber,46.244,orange,PET
fiber,61.868,orange,PET
fiber,378.11,orange,PET
fiber,248.964,black,PA
fragment,77.837,yellow,PE
microbead,46.369,black,EP
fragment,139.641,black,EP
fragment,89.994,blue,PE-PP
fiber,371.109,orange,PET
granule,55.866,red,Phe
fiber,182.501,orange,PET
fiber,427.962,green,PET
fragment,67.342,orange,PET
fragment,177.686,transparent,PMA
microbead,35.617,black,EP
fiber,572.467,orange,PET
granule,89.703,black,EP
fiber,606.838,black,PMA
fiber,357.406,orange,PET
fragment,51.978,red,PMA
microbead,75.217,black,EP
microbead,61.012,black,EP
fiber,304.015,red,PET
fiber,1704.153,black,PET
fiber,119.888,red,RY
fiber,445.432,orange,PET
fiber,265.891,blue,RY
fiber,195.715,orange,PET
fiber,145.175,orange,PET
fiber,400.673,orange,PET
fiber,588.081,orange,PET
fiber,358.931,orange,PET
fragment,206.317,grey,PE
microbead,29.112,blue,ALK
microbead,20.122,blue,ALK
fiber,209.876,grey,PET
fiber,1556.282,black,PMA
fiber,816.794,brown,RY
fiber,766.975,blue,PET
microbead,20.808,orange,PS
fiber,409.133,orange,PET
granule,82.368,red,EP
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
fiber,163.268,orange,PET
granule,39.308,red,PES
fragment,43.786,green,PET
fragment,90.937,orange,PET
fragment,68.499,green,Phe
fragment,275.237,black,PE-PP
fragment,169.908,black,PE-PP
fragment,152.648,black,PE-PP
fragment,288.23,black,PE-PP
fragment,59.613,green,Phe
fiber,151.009,grey,PET
fiber,754.361,orange,PET
fiber,267.848,orange,PET
fiber,552.146,orange,PET
fragment,54.014,green,Phe
fragment,33.182,blue,PVA
fragment,96.324,green,Phe
fragment,71.209,green,Phe
fragment,43.798,red,PVC
fragment,58.07,green,Phe
fragment,82.329,red,PVC
granule,46.147,orange,PET
fiber,323.935,black,PMA
fiber,116.517,orange,PET
N/A,N/A,N/A,N/A
fragment,97.079,orange,PET
fiber,438.432,orange,PET
fiber,714.25,blue,PET
fiber,532.432,green,PET
fiber,119.632,red,PET
fiber,310.653,orange,PET
fiber,737.32,yellow,PET
fragment,145.914,white,PE
fiber,224.398,orange,PET
fiber,1052.642,orange,PET
fragment,121.253,white,PS
fiber,581.547,transparent,PET
fragment,161.259,transparent,PS
fragment,140.24,transparent,PS
fragment,52.004,red,PVC
N/A,N/A,N/A,N/A
fiber,432.892,blue,PET
fiber,1125.671,transparent,PET
fiber,311.899,black,PA
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
fiber,201.194,black,PET
fragment,61.419,blue,PVA
fiber,327.784,orange,PET
fragment,240.906,black,PE-PP
fiber,116.984,orange,PET
N/A,N/A,N/A,N/A
fiber,348.212,black,PA
microbead,65.981,black,EP
fragment,104.146,grey,PS
fiber,494.666,blue,PET
fragment,110.306,black,PE-PP
fiber,85.962,blue,PA
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
fiber,1002.242,black,RY
N/A,N/A,N/A,N/A
fiber,2986.01,black,RY
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
fragment,56.331,red,EP
fragment,91.022,grey,PS
fragment,107.888,white,PS
fragment,37.654,red,PVC
fragment,171.859,black,PE-PP
fiber,80.959,black,PET
fragment,566.979,green,PP
N/A,N/A,N/A,N/A
fiber,650.099,black,PET
fragment,255.187,transparent,PS
fiber,703.334,blue,PET
fragment,262.974,black,PE
fiber,772.863,purple,PET
fragment,155.64,black,PE-PP
fiber,1780.756,blue,PET
fiber,90.408,blue,PET
fragment,76.996,black,PE-PP
N/A,N/A,N/A,N/A
fiber,1985.706,black,PET
fiber,369.905,orange,PET
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
fiber,306.699,blue,PET
fragment,80.386,white,ALK
N/A,N/A,N/A,N/A
granule,90.204,red,EP
fragment,148.89,transparent,PS
fragment,188.666,transparent,PS
fragment,54.857,blue,PVC
fiber,593.676,orange,PET
fragment,203.156,white,EP
N/A,N/A,N/A,N/A
fragment,299.531,black,PE-PP
N/A,N/A,N/A,N/A
