label,ignore_shape,ignore_concentration,x,pm,low,high,"all (m-3)",fibers_fract,fragments_fract,granules_fract,spheres_fract,microbeads_fract,foam_fract,pellets_fract,films_fract
abassi2019,1,,,,0.3,1.1,,,,,,,,,
allen2019,,,,,,,,12,68,,,,,,20
"allen2020,onshore wind",1,,2.9,,,,,,,,,,,,
"allen2020,offshore wind",1,,9.6,,,,,,,,,,,,
dehghani2017,,,,,,,,33.4,,66,0.6,,,,
"dris2017,fibers",1,,0.9,,0.3,1.5,,,,,,,,,
klein2019,,,,,,,,6,94,,,,,,
levermore2020,1,,2502,,,,,,,,,,,,
liu2019a,,1,0.01,,0,1.37,,60,31,8,,1,,,
"liu2019a,coastal",1,,0.13,,,,,58,26,10,,6,,,
"liu2019a,pelagic",1,,0.01,,,,,,,,,,,,
"liu2019a,pelagic1",1,,,,,,,42,54,,,4,,,
"liu2019a,pelagic2",1,,,,,,,50,42,4,,4,,,
"liu2019a,day",1,,,,,,,68,14,16,,2,,,
"liu2019a,night",1,,,,,,,57,21,12,,10,,,
liu2019b,,,1.42,1.42,0,4.18,,67,30,3,,,,,
"liu2019b,ground",1,,,,,,,72.09,26.74,1.16,,,,,
"liu2019b,aerial",1,,,,,,,23.08,53.85,23.08,,,,,
"liu2019b,upper",1,,,,,,,77.78,22.22,0,,,,,
liu2020,1,,0.11,,,,,,,,,,,,
"liu2020,bhs",1,1,0.09,,,,,,,,,,,,
"liu2020,ys",1,1,0.19,,,,,,,,,,,,
"liu2020,ecs",1,1,0.14,,,,,,,,,,,,
"liu2020,scs",1,1,0.025,,,,,,,,,,,,
su2020,,,,,,,,70,9,,,,,1,20
syafei2019,,,109,,,,,97,1.5,,,,,,1.5
wright2020,,,,,,,,63.6,,6.8,,,4.5,,25
