"lambda","Cabs","Csca","g"
2e-07,8.10280107953511e-11,1.90555091638163e-08,0.836838395910265
2.2e-07,4.5193292205545e-11,1.90913400271177e-08,0.843419525002189
2.4e-07,2.87317426369302e-11,1.91078092130155e-08,0.84816068095377
2.6e-07,2.02032946922758e-11,1.91163457333914e-08,0.851690350267795
2.8e-07,1.53572828532348e-11,1.91211928760695e-08,0.854400252476031
3e-07,1.24120128980944e-11,1.91241059753775e-08,0.856506734453921
3.2e-07,1.05320785632564e-11,1.91259521169615e-08,0.858178893715511
3.4e-07,9.29308684416941e-12,1.91272920584478e-08,0.859531087442122
3.6e-07,8.47652713975076e-12,1.91281365606207e-08,0.860692630685167
3.8e-07,7.93358461413401e-12,1.91285769782591e-08,0.861664345940666
4e-07,7.58351118425832e-12,1.91290199582083e-08,0.862482191250992
4.2e-07,7.37638537854428e-12,1.91291826959837e-08,0.863177384756189
4.4e-07,7.27970633221763e-12,1.91292695880125e-08,0.863773997798439
4.6e-07,7.27179828547597e-12,1.91292823904023e-08,0.864290093050474
4.8e-07,7.33793092061926e-12,1.91292266877058e-08,0.864740255645949
5e-07,7.46798632768084e-12,1.91291023664014e-08,0.865134583056804
5.2e-07,7.65498557702318e-12,1.91288385511552e-08,0.865482290351908
5.4e-07,7.89415196467697e-12,1.91286465834402e-08,0.865791569873371
5.6e-07,8.18225884462274e-12,1.91283876843211e-08,0.866067233922479
5.8e-07,8.51725176435613e-12,1.91279897349633e-08,0.866313778892179
6e-07,8.89791909564847e-12,1.91276529215084e-08,0.866536287940992
6.2e-07,9.32369828472584e-12,1.91272266618425e-08,0.866736921442086
6.4e-07,9.79456096332704e-12,1.91267541265012e-08,0.866919550231129
6.6e-07,1.03108224098097e-11,1.91261997587726e-08,0.867085837098123
6.8e-07,1.0873135285583e-11,1.91256932892663e-08,0.867237648139531
7e-07,1.14823824946391e-11,1.9125065156907e-08,0.867377214363172
7.2e-07,1.21398202949839e-11,1.91243735242985e-08,0.867505439712275
7.4e-07,1.28466296341584e-11,1.91236864984401e-08,0.867624030861052
7.6e-07,1.36043425406922e-11,1.91229491710682e-08,0.867734038855661
7.8e-07,1.44144356087312e-11,1.91221469963988e-08,0.867835902473414
8e-07,1.52787462375864e-11,1.9121289377487e-08,0.867931004897985
8.2e-07,1.61988711650466e-11,1.91203641283479e-08,0.868020104837022
8.4e-07,1.7176835757427e-11,1.91193815762318e-08,0.86810354389658
8.6e-07,1.8214489453439e-11,1.91183256374085e-08,0.868181846181691
8.8e-07,1.93138648686837e-11,1.91172161297147e-08,0.868255874705511
9e-07,2.04769601457196e-11,1.91160679115353e-08,0.868325784159512
9.2e-07,2.17059156246899e-11,1.91148272306273e-08,0.868391994653339
9.4e-07,2.30029242108678e-11,1.91135527905987e-08,0.868455242318907
9.6e-07,2.43700848254703e-11,1.91121684615856e-08,0.868515357916845
9.8e-07,2.5809650095264e-11,1.91107266815827e-08,0.868572786337937
1e-06,2.73238259926776e-11,1.91092275982176e-08,0.868628068490012
1.02e-06,2.89148938530989e-11,1.91076430558681e-08,0.868681198813115
1.04e-06,3.05851783690708e-11,1.91059677911508e-08,0.868732160166443
1.06e-06,3.23369329439178e-11,1.91042131988571e-08,0.868781623661278
1.08e-06,3.41725021070866e-11,1.9102379977072e-08,0.86882973614911
1.1e-06,3.60941551061708e-11,1.91004490433613e-08,0.868876283740849
1.12e-06,3.8104261588735e-11,1.90984274819939e-08,0.868921707736141
