"Wavenumber (cm-1)","Refractive index","Refractive index 2","Absorption coefficient (cm-1)","Absorption coefficient 2 (cm-1)"
50,1.717,1.752,13,13
60,1.715,1.756,28,21
70,1.712,1.762,36,27
80,1.71,1.761,45,40
90,1.703,1.75,55,50
100,1.694,1.744,52,45
110,1.692,1.746,46,42
120,1.697,1.75,47,48
125,,1.753,51,55
130,1.696,1.754,57,68
135,,1.741,63,84
140,1.688,1.727,67,123
145,,1.72,60,83
150,1.682,1.716,55,75
160,1.684,1.721,49,59
170,1.688,1.727,52,58
180,1.688,1.728,60,65
190,1.687,1.729,64,69
200,1.688,1.729,62,66
210,1.691,1.732,65,64
220,1.693,1.736,75,68
230,1.691,1.737,91,77
240,1.686,1.736,95,87
250,1.686,1.736,91,87
260,1.688,1.737,95,90
270,1.688,1.74,106,99
280,1.688,1.742,120,110
290,1.688,1.742,122,118
300,1.691,1.744,122,109
310,1.697,1.747,127,112
320,1.705,1.75,133,119
330,1.713,1.752,138,132
340,1.721,1.753,144,151
