"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
2.0097,1.65443,1.530410153,2.11E-05
2.019,1.64802,1.530342724,2.53E-05
2.0285,1.63699,1.530290487,2.7E-05
2.0381,1.62743,1.530230083,2.87E-05
2.0478,1.61773,1.530164868,3.06E-05
2.0575,1.60303,1.530096661,3.42E-05
2.0673,1.58379,1.530025945,4.1E-05
2.0773,1.56728,1.529953347,4.94E-05
2.0873,1.56196,1.529879305,5.36E-05
2.0975,1.55855,1.529796051,5.62E-05
2.1077,1.54842,1.529707745,6.94E-05
2.118,1.53989,1.529622485,9.97E-05
2.1285,1.53806,1.529549466,0.000135
2.139,1.53917,1.529480231,0.000136
2.1496,1.53925,1.529387899,0.000126
2.1568,1.53894,1.529360387,0.000121
2.1676,1.5384,1.529217246,0.000108
2.1785,1.53891,1.529089577,9.9E-05
2.1896,1.54079,1.52893058,8.86E-05
2.197,1.54276,1.528838238,8.1E-05
2.2082,1.54352,1.528598924,8.2E-05
2.2196,1.54059,1.528315859,0.000104
2.2272,1.53845,1.528111842,0.000131
2.2387,1.53663,1.527469643,0.000182
2.2465,1.53643,1.52726531,0.00107
2.2582,1.53694,1.527122939,0.00228
2.2661,1.53773,1.528403157,0.00291
2.2781,1.53796,1.528379764,0.00287
2.2861,1.53668,1.529719998,0.00246
2.2983,1.5352,1.529146943,0.00181
2.3065,1.53534,1.529653443,0.00138
2.3188,1.53621,1.528763223,0.000863
2.3272,1.53635,1.528704613,0.00116
2.3398,1.53593,1.528117199,0.00166
2.3482,1.53596,1.528723244,0.00215
2.3568,1.53637,1.529072264,0.00219
2.3697,1.53614,1.528568463,0.00161
2.3784,1.53542,1.528828666,0.00165
2.3872,1.53454,1.528707602,0.00198
2.396,1.53434,1.529052214,0.0024
2.4093,1.53575,1.529018268,0.00254
2.4183,1.53681,1.530061327,0.00187
2.4274,1.5372,1.529868116,0.00105
2.4365,1.53685,1.529482022,0.000651
2.4457,1.53625,1.529073044,0.000533
2.4596,1.53576,1.528553566,0.000963
2.469,1.53571,1.52867358,0.000836
2.4784,1.535,1.528506176,0.00103
2.488,1.53425,1.528513451,0.00114
2.4975,1.53416,1.52844477,0.000818
2.5072,1.53478,1.528154292,0.000794
2.5169,1.53569,1.527998786,0.00115
2.5268,1.53638,1.528070956,0.00141
2.5366,1.53644,1.52807767,0.00112
2.5466,1.53569,1.52777046,0.00113
2.5567,1.53475,1.527892198,0.00224
2.5668,1.53441,1.528985888,0.00284
2.577,1.53488,1.529248969,0.000226
2.5873,1.53559,1.528520565,0.000218
2.5976,1.53532,1.52814089,0.000212
2.6081,1.53478,1.527849677,0.00021
2.6186,1.53502,1.527603332,0.000212
2.6293,1.53507,1.527364147,0.000209
2.64,1.53435,1.527105843,0.000205
2.6454,1.53402,1.527096372,0.000207
2.6562,1.53311,1.526739139,0.000219
2.6671,1.53237,1.526446644,0.000224
2.6782,1.53208,1.526038762,0.000221
2.6893,1.53221,1.525181171,0.000228
2.6949,1.53255,1.52545562,0.00192
2.7061,1.53328,1.525468254,0.0019
2.7175,1.53404,1.525721433,0.00204
2.7289,1.53389,1.525714966,0.00216
2.7347,1.5339,1.52698166,0.00209
2.7462,1.53456,1.525991996,0.002
2.7579,1.53437,1.526132683,0.00235
2.7697,1.53384,1.526155702,0.0021
2.7756,1.53364,1.527288818,0.00175
2.7876,1.53338,1.52599283,0.00147
2.7996,1.53312,1.525525502,0.00183
2.8057,1.53317,1.526500982,0.00201
2.8179,1.53334,1.525376033,0.00235
2.824,1.53352,1.526919749,0.00259
2.8364,1.53372,1.526088505,0.00252
2.8489,1.53293,1.525949791,0.00172
2.8551,1.53208,1.526724497,0.00169
2.8678,1.53038,1.525510757,0.00207
2.8741,1.53001,1.526848337,0.0022
2.8869,1.53113,1.525848132,0.00171
2.8998,1.53121,1.525366034,0.00128
2.9063,1.53115,1.525831868,0.00147
2.9194,1.53249,1.524767782,0.00204
2.926,1.53291,1.526040189,0.00225
2.9393,1.53218,1.52493805,0.00215
2.946,1.53184,1.526198434,0.00208
2.9594,1.5317,1.524949006,0.00183
2.9662,1.53175,1.525882081,0.00173
2.9798,1.53164,1.524492802,0.00152
2.9867,1.53148,1.524965623,0.00165
2.9936,1.53164,1.524951455,0.00216
3.0075,1.53209,1.524327689,0.00277
3.0145,1.53188,1.526105111,0.00226
3.0286,1.53105,1.52455946,0.00152
3.0357,1.53085,1.525266616,0.00166
