"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7797.49011,1.553708911,4.92915E-05
7797.00798,1.553708911,4.92191E-05
7796.525851,1.55370903,4.89817E-05
7796.043721,1.553719282,4.86567E-05
7795.561591,1.553719044,4.84379E-05
7795.079461,1.553724766,4.84726E-05
7794.597331,1.553724527,4.87284E-05
7794.115201,1.553728819,4.90431E-05
7793.633071,1.553728938,4.92731E-05
7793.150942,1.553732395,4.93851E-05
7792.668812,1.553732514,4.94291E-05
7792.186682,1.553735375,4.94459E-05
7791.704552,1.553735495,4.94447E-05
7791.222422,1.553737879,4.94122E-05
7790.740292,1.553737998,4.93531E-05
7790.258162,1.553739905,4.9301E-05
7789.776033,1.553739905,4.9288E-05
7789.293903,1.553741574,4.9321E-05
7788.811773,1.553741693,4.93644E-05
7788.329643,1.553743362,4.93584E-05
7787.847513,1.553743482,4.92698E-05
7787.365383,1.553744912,4.91226E-05
7786.883253,1.553744793,4.8978E-05
7786.401124,1.553745985,4.88962E-05
7785.918994,1.553745866,4.88953E-05
7785.436864,1.553746819,4.89566E-05
7784.954734,1.553746939,4.90353E-05
7784.472604,1.553747892,4.90871E-05
7783.990474,1.553747892,4.90875E-05
7783.508344,1.553748846,4.9072E-05
7783.026215,1.553748846,4.91058E-05
7782.544085,1.553749681,4.92327E-05
7782.061955,1.5537498,4.94022E-05
7781.579825,1.553750753,4.94923E-05
7781.097695,1.553750992,4.94161E-05
7780.615565,1.553751945,4.91981E-05
7780.133435,1.553751945,4.89762E-05
7779.651306,1.553752422,4.88795E-05
7779.169176,1.553752303,4.89414E-05
7778.687046,1.553752899,4.90957E-05
7778.204916,1.553752899,4.92411E-05
7777.722786,1.553753614,4.93224E-05
7777.240656,1.553753853,4.93403E-05
7776.758526,1.553754568,4.93209E-05
7776.276397,1.553754687,4.92712E-05
7775.794267,1.553755403,4.91562E-05
7775.312137,1.553755403,4.89427E-05
7774.830007,1.553755999,4.86749E-05
7774.347877,1.55375576,4.84657E-05
7773.865747,1.553755999,4.84346E-05
7773.383617,1.55375576,4.85854E-05
7772.901488,1.553756237,4.87887E-05
7772.419358,1.553756356,4.88841E-05
7771.937228,1.553756952,4.88154E-05
7771.455098,1.553756952,4.86535E-05
7770.972968,1.55375731,4.85297E-05
7770.490838,1.553757071,4.85277E-05
7770.008708,1.55375731,4.86534E-05
7769.526579,1.553757191,4.8862E-05
7769.044449,1.553757548,4.90889E-05
7768.562319,1.553757787,4.92719E-05
7768.080189,1.553758264,4.93635E-05
7767.598059,1.553758383,4.93581E-05
7767.115929,1.55375886,4.92966E-05
7766.633799,1.553758979,4.92331E-05
7766.151669,1.553759217,4.92059E-05
7765.66954,1.553759217,4.92332E-05
7765.18741,1.553759456,4.93143E-05
7764.70528,1.553759456,4.94307E-05
7764.22315,1.553759933,4.95393E-05
7763.74102,1.553760052,4.95846E-05
7763.25889,1.553760529,4.95581E-05
7762.77676,1.553760529,4.95152E-05
7762.294631,1.553760886,4.95291E-05
7761.812501,1.553761005,4.95995E-05
7761.330371,1.553761482,4.96323E-05
7760.848241,1.553761721,4.9531E-05
7760.366111,1.553762078,4.92957E-05
7759.883981,1.553762078,4.90332E-05
7759.401851,1.553762197,4.887E-05
7758.919722,1.553761959,4.88438E-05
7758.437592,1.553762078,4.88981E-05
7757.955462,1.553762078,4.89503E-05
7757.473332,1.553762317,4.89763E-05
7756.991202,1.553762317,4.90149E-05
7756.509072,1.553762436,4.91016E-05
7756.026942,1.553762555,4.92135E-05
7755.544813,1.553762913,4.92767E-05
7755.062683,1.553763032,4.92405E-05
7754.580553,1.55376327,4.9127E-05
7754.098423,1.55376327,4.90097E-05
7753.616293,1.55376339,4.89431E-05
7753.134163,1.55376339,4.89269E-05
7752.652033,1.553763509,4.89474E-05
7752.169904,1.55376339,4.90066E-05
7751.687774,1.553763628,4.91059E-05
7751.205644,1.553763747,4.9207E-05
7750.723514,1.553763986,4.9252E-05
7750.241384,1.553764105,4.92242E-05
7749.759254,1.553764224,4.91673E-05
7749.277124,1.553764224,4.91451E-05
7748.794995,1.553764343,4.91647E-05
7748.312865,1.553764462,4.91784E-05
7747.830735,1.553764582,4.91688E-05
7747.348605,1.553764582,4.91696E-05
7746.866475,1.55376482,4.92231E-05
7746.384345,1.55376482,4.93118E-05
7745.902215,1.553765059,4.93719E-05
7745.420086,1.553765178,4.93624E-05
7744.937956,1.553765416,4.93008E-05
7744.455826,1.553765535,4.9214E-05
7743.973696,1.553765655,4.91116E-05
7743.491566,1.553765655,4.90064E-05
7743.009436,1.553765655,4.89621E-05
7742.527306,1.553765535,4.90418E-05
7742.045176,1.553765655,4.92094E-05
7741.563047,1.553765893,4.93239E-05
7741.080917,1.553766251,4.92667E-05
7740.598787,1.55376637,4.90539E-05
7740.116657,1.55376637,4.88332E-05
7739.634527,1.553766251,4.87286E-05
7739.152397,1.553766131,4.87467E-05
7738.670267,1.553766131,4.88167E-05
7738.188138,1.553766131,4.88984E-05
7737.706008,1.553766131,4.90017E-05
7737.223878,1.553766251,4.91294E-05
7736.741748,1.553766251,4.92466E-05
7736.259618,1.553766489,4.93058E-05
7735.777488,1.553766608,4.93018E-05
7735.295358,1.553766847,4.92681E-05
7734.813229,1.553766847,4.92337E-05
7734.331099,1.553766966,4.91976E-05
7733.848969,1.553766966,4.91567E-05
7733.366839,1.553767085,4.91336E-05
7732.884709,1.553767085,4.91612E-05
7732.402579,1.553767085,4.9243E-05
7731.920449,1.553767204,4.9334E-05
7731.43832,1.553767443,4.937E-05
7730.95619,1.553767562,4.93107E-05
7730.47406,1.5537678,4.91725E-05
7729.99193,1.553767681,4.90278E-05
7729.5098,1.553767681,4.89606E-05
7729.02767,1.553767562,4.90006E-05
7728.54554,1.553767681,4.91058E-05
7728.063411,1.553767681,4.91914E-05
7727.581281,1.55376792,4.92102E-05
7727.099151,1.55376792,4.91752E-05
7726.617021,1.553768039,4.911E-05
7726.134891,1.553768039,4.90194E-05
7725.652761,1.553768039,4.89151E-05
7725.170631,1.55376792,4.88584E-05
7724.688502,1.55376792,4.89252E-05
7724.206372,1.5537678,4.91197E-05
7723.724242,1.55376792,4.93452E-05
7723.242112,1.553768158,4.94793E-05
7722.759982,1.553768396,4.94789E-05
7722.277852,1.553768516,4.93892E-05
7721.795722,1.553768754,4.92644E-05
7721.313593,1.553768754,4.91224E-05
7720.831463,1.553768754,4.89869E-05
7720.349333,1.553768635,4.89242E-05
7719.867203,1.553768516,4.89859E-05
7719.385073,1.553768516,4.91242E-05
7718.902943,1.553768754,4.91981E-05
7718.420813,1.553768873,4.91217E-05
7717.938684,1.553768873,4.8964E-05
7717.456554,1.553768754,4.88847E-05
7716.974424,1.553768635,4.89626E-05
7716.492294,1.553768635,4.91131E-05
7716.010164,1.553768873,4.91925E-05
7715.528034,1.553768873,4.91503E-05
7715.045904,1.553768992,4.9066E-05
7714.563774,1.553768873,4.90477E-05
7714.081645,1.553768873,4.91225E-05
7713.599515,1.553768873,4.92294E-05
7713.117385,1.553768992,4.92849E-05
7712.635255,1.553769112,4.92487E-05
7712.153125,1.553769112,4.9161E-05
7711.670995,1.553769112,4.91174E-05
7711.188865,1.553768992,4.91992E-05
7710.706736,1.553768992,4.93927E-05
7710.224606,1.553769112,4.957E-05
7709.742476,1.553769469,4.95784E-05
7709.260346,1.553769588,4.94032E-05
7708.778216,1.553769588,4.91931E-05
7708.296086,1.55376935,4.91382E-05
7707.813956,1.553769112,4.92986E-05
7707.331827,1.553769231,4.9562E-05
7706.849697,1.55376935,4.97655E-05
7706.367567,1.553769588,4.98323E-05
7705.885437,1.553769827,4.97932E-05
7705.403307,1.553770065,4.97107E-05
7704.921177,1.553770065,4.96096E-05
7704.439047,1.553770185,4.94867E-05
7703.956918,1.553770304,4.93486E-05
7703.474788,1.553770185,4.92109E-05
7702.992658,1.553770065,4.91077E-05
7702.510528,1.553770065,4.90698E-05
7702.028398,1.553769946,4.91195E-05
7701.546268,1.553769827,4.92511E-05
7701.064138,1.553769827,4.94091E-05
