"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
2.0097,1.58013,1.552005712,2.14E-05
2.019,1.57816,1.551920606,2.45E-05
2.0285,1.57629,1.551847311,3.1E-05
2.0381,1.57637,1.551764144,3.69E-05
2.0478,1.57668,1.551670756,3.77E-05
2.0575,1.57491,1.551565917,3.91E-05
2.0673,1.57307,1.551446683,4.05E-05
2.0773,1.57276,1.551307228,4.13E-05
2.0873,1.57268,1.551144953,4.29E-05
2.0975,1.5696,1.55094562,4.6E-05
2.1077,1.56498,1.550696654,5.05E-05
2.118,1.56087,1.550359437,5.84E-05
2.1285,1.5594,1.549838561,7.44E-05
2.139,1.56039,1.548779884,0.0001
2.1496,1.56007,1.54850574,0.00339
2.1568,1.55891,1.550481989,0.00389
2.1676,1.5585,1.550545932,0.00388
2.1785,1.55899,1.551208416,0.00359
2.1896,1.55948,1.551752897,0.0043
2.197,1.55989,1.554497494,0.00475
2.2082,1.55992,1.553593162,9.79E-05
2.2196,1.55973,1.552310821,9.05E-05
2.2272,1.55961,1.551820397,8.51E-05
2.2387,1.55943,1.551125077,7.97E-05
2.2465,1.55951,1.550690918,8.03E-05
2.2582,1.55937,1.549805804,8.63E-05
2.2661,1.55898,1.548878957,9.32E-05
2.2781,1.55863,1.548355555,0.00339
2.2861,1.55819,1.550124759,0.00373
2.2983,1.5577,1.549677359,0.0041
2.3065,1.55805,1.551397737,0.00387
2.3188,1.55974,1.550410392,0.00362
2.3272,1.55972,1.551551821,0.00353
2.3398,1.5589,1.550385336,0.00376
2.3482,1.55899,1.551524323,0.00395
2.3568,1.55953,1.551792254,0.00427
2.3697,1.55926,1.551135528,0.00437
2.3784,1.5591,1.552473498,0.0037
2.3872,1.55927,1.552193844,0.00362
2.396,1.55926,1.552402955,0.00373
2.4093,1.56026,1.551387275,0.0036
2.4183,1.56061,1.552339475,0.00366
2.4274,1.55998,1.552308433,0.00384
2.4365,1.55879,1.552573792,0.00374
2.4457,1.55783,1.552727874,0.00313
2.4596,1.55785,1.551288283,0.00289
2.469,1.5584,1.551817114,0.0037
2.4784,1.55913,1.552119572,0.00451
2.488,1.55901,1.552705415,0.00433
2.4975,1.55826,1.55296552,0.00347
2.5072,1.55814,1.552788608,0.00321
2.5169,1.55819,1.552631521,0.00296
2.5268,1.55786,1.552222479,0.00269
2.5366,1.55789,1.551921804,0.00315
2.5466,1.55834,1.551872866,0.00364
2.5567,1.55903,1.552096975,0.00406
2.5668,1.55995,1.552504756,0.00418
2.577,1.56012,1.552830243,0.00391
2.5873,1.55993,1.552944239,0.00348
2.5976,1.55931,1.55274588,0.00293
2.6081,1.55863,1.5523505,0.00305
2.6186,1.55816,1.552158526,0.00337
2.6293,1.55779,1.552184353,0.00395
2.64,1.55723,1.552239162,0.00426
2.6454,1.55694,1.554849727,0.00394
2.6562,1.55653,1.552829237,0.00308
2.6671,1.55665,1.552670801,0.00339
2.6782,1.55659,1.552799682,0.00367
2.6893,1.55643,1.552591309,0.00307
2.6949,1.55634,1.554062302,0.00273
2.7061,1.55665,1.552210557,0.00303
2.7175,1.55711,1.552394927,0.00419
2.7289,1.55817,1.552707722,0.00407
2.7347,1.55843,1.555106758,0.00354
2.7462,1.55782,1.553249822,0.00282
2.7579,1.55683,1.55297496,0.00255
2.7697,1.557,1.552294518,0.00234
2.7756,1.5573,1.553426029,0.00256
2.7876,1.55717,1.552075636,0.00309
2.7996,1.55649,1.551875949,0.00324
2.8057,1.55653,1.553675103,0.00327
2.8179,1.55696,1.551866078,0.00356
2.824,1.55672,1.554085063,0.00362
2.8364,1.55635,1.552523825,0.00354
2.8489,1.55664,1.552430533,0.00361
2.8551,1.55686,1.554605451,0.00348
2.8678,1.55703,1.552597791,0.00325
2.8741,1.55694,1.554575066,0.00332
2.8869,1.55628,1.553192472,0.00339
2.8998,1.55591,1.553518395,0.00368
2.9063,1.55585,1.556312333,0.00376
2.9194,1.55621,1.554481919,0.000136
2.926,1.55646,1.553874378,0.000129
2.9393,1.55658,1.552935899,0.000123
2.946,1.55647,1.552679977,0.000121
2.9594,1.55598,1.552050391,0.000115
2.9662,1.55596,1.551856297,0.000112
2.9798,1.55631,1.551290537,0.000108
2.9867,1.55639,1.55109145,0.00011
2.9936,1.55639,1.550837572,0.000113
3.0075,1.55579,1.550237421,0.000118
3.0145,1.55535,1.549998882,0.00012
3.0286,1.5551,1.549153818,0.000125
3.0357,1.55549,1.548638275,0.000129
3.0499,1.55524,1.548025291,0.00222
3.0571,1.55478,1.549219648,0.00186
3.0644,1.55469,1.548984088,0.00186
3.0789,1.55481,1.547802993,0.00249
3.0863,1.55475,1.549028218,0.00259
3.0936,1.55461,1.54904992,0.00256
3.1085,1.55413,1.547496637,0.00257
3.1159,1.55343,1.548648546,0.00269
3.1234,1.55254,1.548606563,0.00297
3.1386,1.55237,1.547057489,0.00289
3.1462,1.55284,1.548306684,0.00256
3.1538,1.55295,1.54781092,0.00236
3.1693,1.5518,1.545598808,0.00276
3.177,1.55058,1.54656365,0.00297
3.1848,1.54952,1.545929479,0.00311
3.1927,1.5487,1.545662306,0.00314
3.2085,1.54737,1.542419,0.00333
3.2164,1.54672,1.542898646,0.00425
3.2244,1.5461,1.541784142,0.00586
3.2325,1.54574,1.54224376,0.00803
3.2487,1.54667,1.538712309,0.0119
3.2569,1.54742,1.545204941,0.0133
3.2651,1.54859,1.545481623,0.0143
3.2733,1.54943,1.547428403,0.014
3.2899,1.54754,1.54090861,0.0165
3.2983,1.55034,1.55081545,0.0211
3.3067,1.5572,1.55404059,0.0222
3.3152,1.56264,1.557600687,0.0175
3.3237,1.56325,1.558328395,0.0114
3.3322,1.56116,1.557262355,0.0079
3.3494,1.55613,1.549335725,0.00582
3.3581,1.55359,1.549890519,0.00623
3.3668,1.55094,1.547295981,0.00725
3.3756,1.54799,1.545056781,0.00848
3.3844,1.54482,1.542794291,0.0108
3.3933,1.54232,1.54127492,0.0159
3.4022,1.54242,1.542966209,0.0237
3.4111,1.54738,1.551567599,0.0317
3.4292,1.5679,1.550091292,0.0333
3.4383,1.57444,1.571967931,0.0269
3.4474,1.57594,1.570755351,0.0199
3.4566,1.5745,1.569345523,0.0144
3.4658,1.57221,1.567333987,0.0112
3.4751,1.56992,1.56512148,0.00974
3.4845,1.56755,1.563378207,0.00993
3.4939,1.56622,1.562926089,0.0114
3.5033,1.56748,1.564078315,0.0126
3.5128,1.57044,1.565847966,0.0115
3.5224,1.57216,1.566637563,0.00827
3.532,1.57146,1.565982967,0.00545
3.5416,1.56961,1.564655312,0.00404
3.5513,1.56806,1.563366166,0.00348
3.5611,1.56727,1.562305069,0.00322
3.5709,1.56652,1.56148724,0.00321
3.5807,1.56547,1.560973848,0.00338
3.5907,1.56457,1.560602223,0.00327
3.6006,1.56415,1.560271706,0.00297
3.6107,1.56381,1.559838954,0.00284
3.6207,1.56328,1.559492209,0.0026
3.6309,1.5628,1.558948454,0.00229
3.6411,1.56239,1.558357282,0.0023
3.6513,1.56192,1.557925999,0.00264
3.6617,1.56144,1.557684257,0.00294
3.672,1.56127,1.557627955,0.00306
3.6825,1.56138,1.557507212,0.00303
3.693,1.56128,1.557351818,0.00292
3.7035,1.56089,1.557136304,0.0029
3.7141,1.56071,1.556895622,0.00295
3.7248,1.56086,1.556702566,0.00313
3.7355,1.56092,1.556667404,0.00338
3.7463,1.56068,1.55675796,0.00351
3.7572,1.5605,1.556804805,0.00328
3.7681,1.56048,1.556685962,0.00305
3.7791,1.56028,1.556515993,0.00311
3.7901,1.56018,1.556464446,0.00314
3.8013,1.56034,1.55635807,0.00303
3.8124,1.56015,1.556215235,0.0029
3.8237,1.55957,1.556003723,0.00302
3.835,1.55941,1.55594495,0.00317
3.8464,1.5597,1.555907827,0.00319
3.8578,1.55988,1.555885475,0.00322
3.8693,1.55972,1.555864231,0.00326
3.8809,1.55938,1.555894467,0.00331
3.8926,1.55896,1.555969185,0.00326
3.9043,1.55875,1.556005412,0.003
3.9161,1.55887,1.555836748,0.00266
3.928,1.55887,1.55552852,0.00256
3.9399,1.55866,1.555289428,0.00273
3.9519,1.55855,1.555205914,0.00297
3.964,1.55858,1.55519048,0.00297
3.9762,1.55843,1.555083367,0.00291
3.9884,1.55839,1.555001537,0.00309
4.0007,1.55857,1.555052419,0.00329
4.0131,1.55861,1.555175066,0.00326
4.0255,1.5584,1.555234121,0.00304
4.0381,1.55822,1.555114113,0.00283
4.0507,1.55804,1.554954596,0.00276
4.0634,1.55792,1.554820504,0.00284
4.0762,1.55779,1.55472342,0.00283
4.089,1.55757,1.554639216,0.00286
4.102,1.55727,1.554546308,0.00292
4.115,1.55716,1.554513696,0.00296
4.1281,1.55718,1.554513735,0.00302
4.1413,1.55739,1.554514182,0.00289
4.1546,1.55747,1.554338692,0.0026
4.1679,1.55724,1.554024084,0.00258
4.1814,1.55699,1.553742805,0.00288
4.1949,1.55713,1.553667398,0.00323
4.2085,1.55751,1.55370776,0.0035
4.2222,1.55757,1.553801802,0.00366
4.236,1.55669,1.553951256,0.00383
4.2499,1.55643,1.554112378,0.00379
4.2639,1.55646,1.554166405,0.00367
4.278,1.5563,1.554221324,0.00379
4.2921,1.55709,1.554413163,0.00382
4.3064,1.55771,1.554564194,0.00362
4.3208,1.55718,1.554608185,0.0033
4.3352,1.55666,1.554498679,0.00297
4.3498,1.55664,1.554267904,0.00288
4.3644,1.55657,1.554119319,0.00293
4.3791,1.55643,1.554030581,0.00298
4.394,1.55627,1.553974359,0.00302
4.4089,1.55631,1.554006753,0.00304
4.424,1.55644,1.553984187,0.00285
4.4391,1.55643,1.553839103,0.00259
4.4544,1.55641,1.553526917,0.0025
4.4697,1.55634,1.553301143,0.00275
4.4852,1.55621,1.553220833,0.00299
4.5008,1.55614,1.553210196,0.00307
4.5165,1.55585,1.553218895,0.0032
4.5323,1.55561,1.553290755,0.00328
4.5482,1.5557,1.553341574,0.00318
4.5642,1.55575,1.553333669,0.00312
4.5803,1.55531,1.553306371,0.00305
4.5965,1.55514,1.553252999,0.00297
4.6129,1.55533,1.553171843,0.00293
4.6294,1.55535,1.553108884,0.00289
4.646,1.55495,1.553057777,0.00284
