"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
2.0097,1.52336,1.523111986,1.84E-05
2.019,1.52418,1.523068614,2.86E-05
2.0285,1.52426,1.523044242,3.9E-05
2.0381,1.52308,1.523015086,3.93E-05
2.0478,1.52121,1.522980424,3.96E-05
2.0575,1.52058,1.522943066,3.99E-05
2.0673,1.52115,1.522902422,3.96E-05
2.0773,1.52145,1.522857614,3.9E-05
2.0873,1.52268,1.522810246,3.86E-05
2.0975,1.52474,1.522758055,3.87E-05
2.1077,1.52548,1.5227032,3.96E-05
2.118,1.52618,1.522644229,4.1E-05
2.1285,1.52517,1.52258014,4.32E-05
2.139,1.5239,1.522512631,4.56E-05
2.1496,1.52528,1.522436568,4.62E-05
2.1568,1.52611,1.522396838,4.58E-05
2.1676,1.52584,1.522296607,4.51E-05
2.1785,1.52529,1.522197538,4.49E-05
2.1896,1.52568,1.522079584,4.61E-05
2.197,1.52606,1.522008758,4.8E-05
2.2082,1.52622,1.521849147,5.31E-05
2.2196,1.52563,1.521668095,6.16E-05
2.2272,1.52565,1.52154706,7E-05
2.2387,1.52525,1.521257582,8.95E-05
2.2465,1.52461,1.521044895,0.000109
2.2582,1.5244,1.52037342,0.000144
2.2661,1.5247,1.520215602,0.00121
2.2781,1.52484,1.520155985,0.00225
2.2861,1.52438,1.521427213,0.00268
2.2983,1.52525,1.521059463,0.002
2.3065,1.5263,1.5214827,0.00159
2.3188,1.52594,1.520431851,0.00213
2.3272,1.52499,1.521227036,0.0032
2.3398,1.52531,1.520987884,0.00391
2.3482,1.52526,1.522645951,0.00374
2.3568,1.52485,1.523119306,0.00362
2.3697,1.52517,1.52237974,0.00255
2.3784,1.52617,1.522826538,0.00234
2.3872,1.52689,1.522728885,0.00293
2.396,1.52643,1.523270346,0.00301
2.4093,1.52602,1.522718691,0.00222
2.4183,1.52635,1.523175126,0.00186
2.4274,1.52578,1.522843019,0.00175
2.4365,1.52471,1.522598888,0.00168
2.4457,1.52452,1.522464205,0.00182
2.4596,1.52546,1.521786186,0.0022
2.469,1.52599,1.522169078,0.00201
2.4784,1.52627,1.521807256,0.00249
2.488,1.52682,1.521917441,0.00342
2.4975,1.52702,1.522649554,0.00396
